max_depth,C,kernel,n_neighbors
7,10.0,rbf,7
10,10.0,linear,12
10,10.0,linear,12
7,10.0,linear,5
10,10.0,linear,15
10,5.0,linear,9
7,10.0,rbf,9
7,5.0,linear,9
7,5.0,linear,15
10,25.0,rbf,5
10,10.0,linear,15
7,5.0,linear,5
7,5.0,linear,5
10,5.0,linear,12
7,5.0,linear,15
7,5.0,linear,15
7,5.0,linear,15
7,5.0,linear,9
10,10.0,linear,5
10,10.0,rbf,15
7,25.0,rbf,9
7,25.0,linear,5
7,5.0,rbf,12
10,5.0,linear,7
10,5.0,linear,12
7,5.0,linear,15
7,5.0,rbf,5
12,5.0,linear,15
10,10.0,linear,7
10,5.0,linear,12
7,10.0,rbf,9
7,10.0,linear,13
