Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy
4,6,STFT,Delta,-,SVM,0.412109375
4,6,STFT,Delta,-,kNN,0.87109375
4,6,STFT,Theta,-,Random Forest,0.533203125
4,6,STFT,Theta,-,SVM,0.41015625
4,6,STFT,Theta,-,kNN,0.888671875
4,6,STFT,Alpha,-,Random Forest,0.529296875
4,6,STFT,Alpha,-,SVM,0.41015625
4,6,STFT,Alpha,-,kNN,0.88671875
4,6,STFT,Beta,-,Random Forest,0.572265625
4,6,STFT,Beta,-,SVM,0.599609375
4,6,STFT,Beta,-,kNN,0.888671875
4,6,STFT,Gamma,-,Random Forest,0.57421875
4,6,STFT,Gamma,-,SVM,0.58984375
4,6,STFT,Gamma,-,kNN,0.87890625
5,6,STFT,Delta,-,Random Forest,0.64453125
5,6,STFT,Delta,-,SVM,0.48046875
5,6,STFT,Delta,-,kNN,0.890625
5,6,STFT,Theta,-,Random Forest,0.556640625
5,6,STFT,Theta,-,SVM,0.48046875
5,6,STFT,Theta,-,kNN,0.904296875
5,6,STFT,Alpha,-,Random Forest,0.552734375
5,6,STFT,Alpha,-,SVM,0.48046875
5,6,STFT,Alpha,-,kNN,0.875
5,6,STFT,Beta,-,Random Forest,0.6171875
5,6,STFT,Beta,-,SVM,0.736328125
5,6,STFT,Beta,-,kNN,0.90625
5,6,STFT,Gamma,-,Random Forest,0.494140625
5,6,STFT,Gamma,-,SVM,0.837890625
5,6,STFT,Gamma,-,kNN,0.888671875
6,6,STFT,Delta,-,Random Forest,0.578125
6,6,STFT,Delta,-,SVM,0.392578125
6,6,STFT,Delta,-,kNN,0.91015625
6,6,STFT,Theta,-,Random Forest,0.666015625
6,6,STFT,Theta,-,SVM,0.404296875
6,6,STFT,Theta,-,kNN,0.888671875
6,6,STFT,Alpha,-,Random Forest,0.689453125
6,6,STFT,Alpha,-,SVM,0.404296875
6,6,STFT,Alpha,-,kNN,0.916015625
6,6,STFT,Beta,-,Random Forest,0.548828125
6,6,STFT,Beta,-,SVM,0.79296875
6,6,STFT,Beta,-,kNN,0.900390625
6,6,STFT,Gamma,-,Random Forest,0.662109375
6,6,STFT,Gamma,-,SVM,0.869140625
6,6,STFT,Gamma,-,kNN,0.888671875
7,6,STFT,Delta,-,Random Forest,0.6171875
7,6,STFT,Delta,-,SVM,0.484375
7,6,STFT,Delta,-,kNN,0.87109375
7,6,STFT,Theta,-,Random Forest,0.603515625
7,6,STFT,Theta,-,SVM,0.484375
7,6,STFT,Theta,-,kNN,0.8828125
7,6,STFT,Alpha,-,Random Forest,0.591796875
7,6,STFT,Alpha,-,SVM,0.484375
7,6,STFT,Alpha,-,kNN,0.8671875
7,6,STFT,Beta,-,Random Forest,0.576171875
7,6,STFT,Beta,-,SVM,0.859375
7,6,STFT,Beta,-,kNN,0.89453125
7,6,STFT,Gamma,-,Random Forest,0.580078125
7,6,STFT,Gamma,-,SVM,0.853515625
7,6,STFT,Gamma,-,kNN,0.87890625
8,6,STFT,Delta,-,Random Forest,0.5625
8,6,STFT,Delta,-,SVM,0.5390625
8,6,STFT,Delta,-,kNN,0.884765625
8,6,STFT,Theta,-,Random Forest,0.6015625
8,6,STFT,Theta,-,SVM,0.5390625
8,6,STFT,Theta,-,kNN,0.87109375
8,6,STFT,Alpha,-,Random Forest,0.619140625
8,6,STFT,Alpha,-,SVM,0.5390625
8,6,STFT,Alpha,-,kNN,0.884765625
8,6,STFT,Beta,-,Random Forest,0.595703125
8,6,STFT,Beta,-,SVM,0.845703125
8,6,STFT,Beta,-,kNN,0.875
8,6,STFT,Gamma,-,Random Forest,0.634765625
8,6,STFT,Gamma,-,SVM,0.869140625
8,6,STFT,Gamma,-,kNN,0.890625
9,6,STFT,Delta,-,Random Forest,0.541015625
9,6,STFT,Delta,-,SVM,0.4765625
9,6,STFT,Delta,-,kNN,0.896484375
9,6,STFT,Theta,-,Random Forest,0.59765625
9,6,STFT,Theta,-,SVM,0.4765625
9,6,STFT,Theta,-,kNN,0.912109375
9,6,STFT,Alpha,-,Random Forest,0.611328125
9,6,STFT,Alpha,-,SVM,0.4921875
9,6,STFT,Alpha,-,kNN,0.904296875
9,6,STFT,Beta,-,Random Forest,0.548828125
9,6,STFT,Beta,-,SVM,0.78515625
9,6,STFT,Beta,-,kNN,0.896484375
9,6,STFT,Gamma,-,Random Forest,0.552734375
9,6,STFT,Gamma,-,SVM,0.669921875
9,6,STFT,Gamma,-,kNN,0.88671875
10,6,STFT,Delta,-,Random Forest,0.537109375
10,6,STFT,Delta,-,SVM,0.298828125
10,6,STFT,Delta,-,kNN,0.87890625
10,6,STFT,Theta,-,Random Forest,0.658203125
10,6,STFT,Theta,-,SVM,0.388671875
10,6,STFT,Theta,-,kNN,0.89453125
10,6,STFT,Alpha,-,Random Forest,0.658203125
10,6,STFT,Alpha,-,SVM,0.451171875
10,6,STFT,Alpha,-,kNN,0.8828125
10,6,STFT,Beta,-,Random Forest,0.666015625
10,6,STFT,Beta,-,SVM,0.8671875
10,6,STFT,Beta,-,kNN,0.888671875
10,6,STFT,Gamma,-,Random Forest,0.626953125
10,6,STFT,Gamma,-,SVM,0.85546875
10,6,STFT,Gamma,-,kNN,0.912109375
11,6,STFT,Delta,-,Random Forest,0.626953125
11,6,STFT,Delta,-,SVM,0.412109375
11,6,STFT,Delta,-,kNN,0.880859375
11,6,STFT,Theta,-,Random Forest,0.55859375
11,6,STFT,Theta,-,SVM,0.412109375
11,6,STFT,Theta,-,kNN,0.88671875
11,6,STFT,Alpha,-,Random Forest,0.5234375
11,6,STFT,Alpha,-,SVM,0.48046875
11,6,STFT,Alpha,-,kNN,0.91015625
11,6,STFT,Beta,-,Random Forest,0.5078125
11,6,STFT,Beta,-,SVM,0.732421875
11,6,STFT,Beta,-,kNN,0.892578125
11,6,STFT,Gamma,-,Random Forest,0.560546875
11,6,STFT,Gamma,-,SVM,0.677734375
11,6,STFT,Gamma,-,kNN,0.908203125
12,6,STFT,Delta,-,Random Forest,0.759765625
12,6,STFT,Delta,-,SVM,0.494140625
12,6,STFT,Delta,-,kNN,0.9375
12,6,STFT,Theta,-,Random Forest,0.783203125
12,6,STFT,Theta,-,SVM,0.494140625
12,6,STFT,Theta,-,kNN,0.951171875
12,6,STFT,Alpha,-,Random Forest,0.65625
12,6,STFT,Alpha,-,SVM,0.494140625
12,6,STFT,Alpha,-,kNN,0.9375
12,6,STFT,Beta,-,Random Forest,0.75
12,6,STFT,Beta,-,SVM,0.828125
12,6,STFT,Beta,-,kNN,0.9453125
12,6,STFT,Gamma,-,Random Forest,0.71875
12,6,STFT,Gamma,-,SVM,0.93359375
12,6,STFT,Gamma,-,kNN,0.951171875
13,6,STFT,Delta,-,Random Forest,0.69921875
13,6,STFT,Delta,-,SVM,0.484375
13,6,STFT,Delta,-,kNN,0.921875
13,6,STFT,Theta,-,Random Forest,0.748046875
13,6,STFT,Theta,-,SVM,0.484375
13,6,STFT,Theta,-,kNN,0.904296875
13,6,STFT,Alpha,-,Random Forest,0.76953125
13,6,STFT,Alpha,-,SVM,0.5390625
13,6,STFT,Alpha,-,kNN,0.916015625
13,6,STFT,Beta,-,Random Forest,0.67578125
13,6,STFT,Beta,-,SVM,0.869140625
13,6,STFT,Beta,-,kNN,0.91015625
13,6,STFT,Gamma,-,Random Forest,0.70703125
13,6,STFT,Gamma,-,SVM,0.787109375
13,6,STFT,Gamma,-,kNN,0.896484375
14,6,STFT,Delta,-,Random Forest,0.572265625
14,6,STFT,Delta,-,SVM,0.38671875
14,6,STFT,Delta,-,kNN,0.935546875
14,6,STFT,Theta,-,Random Forest,0.654296875
14,6,STFT,Theta,-,SVM,0.392578125
14,6,STFT,Theta,-,kNN,0.947265625
14,6,STFT,Alpha,-,Random Forest,0.669921875
14,6,STFT,Alpha,-,SVM,0.4296875
14,6,STFT,Alpha,-,kNN,0.9296875
14,6,STFT,Beta,-,Random Forest,0.603515625
14,6,STFT,Beta,-,SVM,0.779296875
14,6,STFT,Beta,-,kNN,0.919921875
14,6,STFT,Gamma,-,Random Forest,0.541015625
14,6,STFT,Gamma,-,SVM,0.7578125
14,6,STFT,Gamma,-,kNN,0.919921875
15,6,STFT,Delta,-,Random Forest,0.7109375
15,6,STFT,Delta,-,SVM,0.326171875
15,6,STFT,Delta,-,kNN,0.923828125
15,6,STFT,Theta,-,Random Forest,0.625
15,6,STFT,Theta,-,SVM,0.30078125
15,6,STFT,Theta,-,kNN,0.931640625
15,6,STFT,Alpha,-,Random Forest,0.62109375
15,6,STFT,Alpha,-,SVM,0.314453125
15,6,STFT,Alpha,-,kNN,0.927734375
15,6,STFT,Beta,-,Random Forest,0.703125
15,6,STFT,Beta,-,SVM,0.923828125
15,6,STFT,Beta,-,kNN,0.919921875
15,6,STFT,Gamma,-,Random Forest,0.669921875
15,6,STFT,Gamma,-,SVM,0.859375
15,6,STFT,Gamma,-,kNN,0.927734375
16,6,STFT,Delta,-,Random Forest,0.73046875
16,6,STFT,Delta,-,SVM,0.330078125
16,6,STFT,Delta,-,kNN,0.87109375
16,6,STFT,Theta,-,Random Forest,0.689453125
16,6,STFT,Theta,-,SVM,0.318359375
16,6,STFT,Theta,-,kNN,0.861328125
16,6,STFT,Alpha,-,Random Forest,0.720703125
16,6,STFT,Alpha,-,SVM,0.318359375
16,6,STFT,Alpha,-,kNN,0.87109375
16,6,STFT,Beta,-,Random Forest,0.74609375
16,6,STFT,Beta,-,SVM,0.87109375
16,6,STFT,Beta,-,kNN,0.869140625
16,6,STFT,Gamma,-,Random Forest,0.6953125
16,6,STFT,Gamma,-,SVM,0.837890625
16,6,STFT,Gamma,-,kNN,0.884765625
17,6,STFT,Delta,-,Random Forest,0.568359375
17,6,STFT,Delta,-,SVM,0.45703125
17,6,STFT,Delta,-,kNN,0.927734375
17,6,STFT,Theta,-,Random Forest,0.56640625
17,6,STFT,Theta,-,SVM,0.45703125
17,6,STFT,Theta,-,kNN,0.9140625
17,6,STFT,Alpha,-,Random Forest,0.55859375
17,6,STFT,Alpha,-,SVM,0.45703125
17,6,STFT,Alpha,-,kNN,0.93359375
17,6,STFT,Beta,-,Random Forest,0.642578125
17,6,STFT,Beta,-,SVM,0.822265625
17,6,STFT,Beta,-,kNN,0.921875
17,6,STFT,Gamma,-,Random Forest,0.5625
17,6,STFT,Gamma,-,SVM,0.83203125
17,6,STFT,Gamma,-,kNN,0.9140625
18,6,STFT,Delta,-,Random Forest,0.546875
18,6,STFT,Delta,-,SVM,0.490234375
18,6,STFT,Delta,-,kNN,0.892578125
18,6,STFT,Theta,-,Random Forest,0.5859375
18,6,STFT,Theta,-,SVM,0.490234375
18,6,STFT,Theta,-,kNN,0.90625
18,6,STFT,Alpha,-,Random Forest,0.572265625
18,6,STFT,Alpha,-,SVM,0.490234375
18,6,STFT,Alpha,-,kNN,0.90625
18,6,STFT,Beta,-,Random Forest,0.68359375
18,6,STFT,Beta,-,SVM,0.880859375
18,6,STFT,Beta,-,kNN,0.88671875
18,6,STFT,Gamma,-,Random Forest,0.5390625
18,6,STFT,Gamma,-,SVM,0.8359375
18,6,STFT,Gamma,-,kNN,0.880859375
19,6,STFT,Delta,-,Random Forest,0.51953125
19,6,STFT,Delta,-,SVM,0.51953125
19,6,STFT,Delta,-,kNN,0.943359375
19,6,STFT,Theta,-,Random Forest,0.6015625
19,6,STFT,Theta,-,SVM,0.51953125
19,6,STFT,Theta,-,kNN,0.94921875
19,6,STFT,Alpha,-,Random Forest,0.591796875
19,6,STFT,Alpha,-,SVM,0.51953125
19,6,STFT,Alpha,-,kNN,0.9453125
19,6,STFT,Beta,-,Random Forest,0.572265625
19,6,STFT,Beta,-,SVM,0.947265625
19,6,STFT,Beta,-,kNN,0.9453125
19,6,STFT,Gamma,-,Random Forest,0.619140625
19,6,STFT,Gamma,-,SVM,0.861328125
19,6,STFT,Gamma,-,kNN,0.94921875
20,6,STFT,Delta,-,Random Forest,0.77734375
20,6,STFT,Delta,-,SVM,0.591796875
20,6,STFT,Delta,-,kNN,0.9453125
20,6,STFT,Theta,-,Random Forest,0.826171875
20,6,STFT,Theta,-,SVM,0.591796875
20,6,STFT,Theta,-,kNN,0.939453125
20,6,STFT,Alpha,-,Random Forest,0.75390625
20,6,STFT,Alpha,-,SVM,0.591796875
20,6,STFT,Alpha,-,kNN,0.947265625
20,6,STFT,Beta,-,Random Forest,0.787109375
20,6,STFT,Beta,-,SVM,0.90234375
20,6,STFT,Beta,-,kNN,0.951171875
20,6,STFT,Gamma,-,Random Forest,0.685546875
20,6,STFT,Gamma,-,SVM,0.875
20,6,STFT,Gamma,-,kNN,0.951171875
21,6,STFT,Delta,-,Random Forest,0.658203125
21,6,STFT,Delta,-,SVM,0.5078125
21,6,STFT,Delta,-,kNN,0.908203125
21,6,STFT,Theta,-,Random Forest,0.662109375
21,6,STFT,Theta,-,SVM,0.5078125
21,6,STFT,Theta,-,kNN,0.90234375
21,6,STFT,Alpha,-,Random Forest,0.6484375
21,6,STFT,Alpha,-,SVM,0.5078125
21,6,STFT,Alpha,-,kNN,0.8828125
21,6,STFT,Beta,-,Random Forest,0.677734375
21,6,STFT,Beta,-,SVM,0.80859375
21,6,STFT,Beta,-,kNN,0.89453125
21,6,STFT,Gamma,-,Random Forest,0.677734375
21,6,STFT,Gamma,-,SVM,0.833984375
21,6,STFT,Gamma,-,kNN,0.8984375
22,6,STFT,Delta,-,Random Forest,0.498046875
22,6,STFT,Delta,-,SVM,0.388671875
22,6,STFT,Delta,-,kNN,0.90625
22,6,STFT,Theta,-,Random Forest,0.583984375
22,6,STFT,Theta,-,SVM,0.388671875
22,6,STFT,Theta,-,kNN,0.900390625
22,6,STFT,Alpha,-,Random Forest,0.619140625
22,6,STFT,Alpha,-,SVM,0.388671875
22,6,STFT,Alpha,-,kNN,0.90234375
22,6,STFT,Beta,-,Random Forest,0.533203125
22,6,STFT,Beta,-,SVM,0.759765625
22,6,STFT,Beta,-,kNN,0.90625
22,6,STFT,Gamma,-,Random Forest,0.607421875
22,6,STFT,Gamma,-,SVM,0.703125
22,6,STFT,Gamma,-,kNN,0.90234375
23,6,STFT,Delta,-,Random Forest,0.66796875
23,6,STFT,Delta,-,SVM,0.404296875
23,6,STFT,Delta,-,kNN,0.90625
23,6,STFT,Theta,-,Random Forest,0.794921875
23,6,STFT,Theta,-,SVM,0.404296875
23,6,STFT,Theta,-,kNN,0.904296875
23,6,STFT,Alpha,-,Random Forest,0.794921875
23,6,STFT,Alpha,-,SVM,0.4296875
23,6,STFT,Alpha,-,kNN,0.90625
23,6,STFT,Beta,-,Random Forest,0.75
23,6,STFT,Beta,-,SVM,0.82421875
23,6,STFT,Beta,-,kNN,0.900390625
23,6,STFT,Gamma,-,Random Forest,0.7109375
23,6,STFT,Gamma,-,SVM,0.78125
23,6,STFT,Gamma,-,kNN,0.8984375
24,6,STFT,Delta,-,Random Forest,0.6953125
24,6,STFT,Delta,-,SVM,0.541015625
24,6,STFT,Delta,-,kNN,0.91796875
24,6,STFT,Theta,-,Random Forest,0.66796875
24,6,STFT,Theta,-,SVM,0.541015625
24,6,STFT,Theta,-,kNN,0.9375
24,6,STFT,Alpha,-,Random Forest,0.669921875
24,6,STFT,Alpha,-,SVM,0.541015625
24,6,STFT,Alpha,-,kNN,0.908203125
24,6,STFT,Beta,-,Random Forest,0.677734375
24,6,STFT,Beta,-,SVM,0.87890625
24,6,STFT,Beta,-,kNN,0.916015625
24,6,STFT,Gamma,-,Random Forest,0.705078125
24,6,STFT,Gamma,-,SVM,0.822265625
24,6,STFT,Gamma,-,kNN,0.923828125
25,6,STFT,Delta,-,Random Forest,0.55859375
25,6,STFT,Delta,-,SVM,0.486328125
25,6,STFT,Delta,-,kNN,0.916015625
25,6,STFT,Theta,-,Random Forest,0.619140625
25,6,STFT,Theta,-,SVM,0.439453125
25,6,STFT,Theta,-,kNN,0.921875
25,6,STFT,Alpha,-,Random Forest,0.685546875
25,6,STFT,Alpha,-,SVM,0.421875
25,6,STFT,Alpha,-,kNN,0.927734375
25,6,STFT,Beta,-,Random Forest,0.6875
25,6,STFT,Beta,-,SVM,0.7734375
25,6,STFT,Beta,-,kNN,0.931640625
25,6,STFT,Gamma,-,Random Forest,0.58984375
25,6,STFT,Gamma,-,SVM,0.82421875
25,6,STFT,Gamma,-,kNN,0.9296875
26,6,STFT,Delta,-,Random Forest,0.685546875
26,6,STFT,Delta,-,SVM,0.4921875
26,6,STFT,Delta,-,kNN,0.923828125
26,6,STFT,Theta,-,Random Forest,0.681640625
26,6,STFT,Theta,-,SVM,0.4921875
26,6,STFT,Theta,-,kNN,0.923828125
26,6,STFT,Alpha,-,Random Forest,0.689453125
26,6,STFT,Alpha,-,SVM,0.4921875
26,6,STFT,Alpha,-,kNN,0.921875
26,6,STFT,Beta,-,Random Forest,0.712890625
26,6,STFT,Beta,-,SVM,0.779296875
26,6,STFT,Beta,-,kNN,0.908203125
26,6,STFT,Gamma,-,Random Forest,0.697265625
26,6,STFT,Gamma,-,SVM,0.8125
26,6,STFT,Gamma,-,kNN,0.921875
27,6,STFT,Delta,-,Random Forest,0.67578125
27,6,STFT,Delta,-,SVM,0.61328125
27,6,STFT,Delta,-,kNN,0.923828125
27,6,STFT,Theta,-,Random Forest,0.705078125
27,6,STFT,Theta,-,SVM,0.61328125
27,6,STFT,Theta,-,kNN,0.919921875
27,6,STFT,Alpha,-,Random Forest,0.67578125
27,6,STFT,Alpha,-,SVM,0.61328125
27,6,STFT,Alpha,-,kNN,0.91015625
27,6,STFT,Beta,-,Random Forest,0.599609375
27,6,STFT,Beta,-,SVM,0.890625
27,6,STFT,Beta,-,kNN,0.927734375
27,6,STFT,Gamma,-,Random Forest,0.658203125
27,6,STFT,Gamma,-,SVM,0.8828125
27,6,STFT,Gamma,-,kNN,0.9375
28,6,STFT,Delta,-,Random Forest,0.640625
28,6,STFT,Delta,-,SVM,0.40234375
28,6,STFT,Delta,-,kNN,0.912109375
28,6,STFT,Theta,-,Random Forest,0.5390625
28,6,STFT,Theta,-,SVM,0.392578125
28,6,STFT,Theta,-,kNN,0.927734375
28,6,STFT,Alpha,-,Random Forest,0.5859375
28,6,STFT,Alpha,-,SVM,0.392578125
28,6,STFT,Alpha,-,kNN,0.904296875
28,6,STFT,Beta,-,Random Forest,0.537109375
28,6,STFT,Beta,-,SVM,0.921875
28,6,STFT,Beta,-,kNN,0.923828125
28,6,STFT,Gamma,-,Random Forest,0.58984375
28,6,STFT,Gamma,-,SVM,0.71875
28,6,STFT,Gamma,-,kNN,0.912109375
29,6,STFT,Delta,-,Random Forest,0.52734375
29,6,STFT,Delta,-,SVM,0.470703125
29,6,STFT,Delta,-,kNN,0.939453125
29,6,STFT,Theta,-,Random Forest,0.685546875
29,6,STFT,Theta,-,SVM,0.470703125
29,6,STFT,Theta,-,kNN,0.943359375
29,6,STFT,Alpha,-,Random Forest,0.703125
29,6,STFT,Alpha,-,SVM,0.470703125
29,6,STFT,Alpha,-,kNN,0.94140625
29,6,STFT,Beta,-,Random Forest,0.578125
29,6,STFT,Beta,-,SVM,0.927734375
29,6,STFT,Beta,-,kNN,0.931640625
29,6,STFT,Gamma,-,Random Forest,0.615234375
29,6,STFT,Gamma,-,SVM,0.8828125
29,6,STFT,Gamma,-,kNN,0.93359375
30,6,STFT,Delta,-,Random Forest,0.5859375
30,6,STFT,Delta,-,SVM,0.5859375
30,6,STFT,Delta,-,kNN,0.9140625
30,6,STFT,Theta,-,Random Forest,0.60546875
30,6,STFT,Theta,-,SVM,0.5859375
30,6,STFT,Theta,-,kNN,0.900390625
30,6,STFT,Alpha,-,Random Forest,0.626953125
30,6,STFT,Alpha,-,SVM,0.5859375
30,6,STFT,Alpha,-,kNN,0.921875
30,6,STFT,Beta,-,Random Forest,0.6484375
30,6,STFT,Beta,-,SVM,0.798828125
30,6,STFT,Beta,-,kNN,0.91015625
30,6,STFT,Gamma,-,Random Forest,0.658203125
30,6,STFT,Gamma,-,SVM,0.87109375
30,6,STFT,Gamma,-,kNN,0.923828125
31,6,STFT,Delta,-,Random Forest,0.72265625
31,6,STFT,Delta,-,SVM,0.546875
31,6,STFT,Delta,-,kNN,0.931640625
31,6,STFT,Theta,-,Random Forest,0.767578125
31,6,STFT,Theta,-,SVM,0.546875
31,6,STFT,Theta,-,kNN,0.931640625
31,6,STFT,Alpha,-,Random Forest,0.78515625
31,6,STFT,Alpha,-,SVM,0.572265625
31,6,STFT,Alpha,-,kNN,0.9296875
31,6,STFT,Beta,-,Random Forest,0.626953125
31,6,STFT,Beta,-,SVM,0.84375
31,6,STFT,Beta,-,kNN,0.92578125
31,6,STFT,Gamma,-,Random Forest,0.66796875
31,6,STFT,Gamma,-,SVM,0.873046875
31,6,STFT,Gamma,-,kNN,0.931640625
32,6,STFT,Delta,-,Random Forest,0.591796875
32,6,STFT,Delta,-,SVM,0.4609375
32,6,STFT,Delta,-,kNN,0.8984375
32,6,STFT,Theta,-,Random Forest,0.640625
32,6,STFT,Theta,-,SVM,0.447265625
32,6,STFT,Theta,-,kNN,0.916015625
32,6,STFT,Alpha,-,Random Forest,0.68359375
32,6,STFT,Alpha,-,SVM,0.46484375
32,6,STFT,Alpha,-,kNN,0.888671875
32,6,STFT,Beta,-,Random Forest,0.662109375
32,6,STFT,Beta,-,SVM,0.87109375
32,6,STFT,Beta,-,kNN,0.904296875
32,6,STFT,Gamma,-,Random Forest,0.634765625
32,6,STFT,Gamma,-,SVM,0.78515625
32,6,STFT,Gamma,-,kNN,0.90625
