Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy
1,6,STFT,Delta,-,Random Forest,0.58984375
1,6,STFT,Delta,-,SVM,0.353515625
1,6,STFT,Delta,-,kNN,0.921875
1,6,STFT,Theta,-,Random Forest,0.732421875
1,6,STFT,Theta,-,SVM,0.353515625
1,6,STFT,Theta,-,kNN,0.9375
1,6,STFT,Alpha,-,Random Forest,0.755859375
1,6,STFT,Alpha,-,SVM,0.353515625
1,6,STFT,Alpha,-,kNN,0.935546875
1,6,STFT,Beta,-,Random Forest,0.705078125
1,6,STFT,Beta,-,SVM,0.890625
1,6,STFT,Beta,-,kNN,0.9296875
1,6,STFT,Gamma,-,Random Forest,0.759765625
1,6,STFT,Gamma,-,SVM,0.845703125
1,6,STFT,Gamma,-,kNN,0.939453125
2,6,STFT,Delta,-,Random Forest,0.58984375
2,6,STFT,Delta,-,SVM,0.498046875
2,6,STFT,Delta,-,kNN,0.908203125
2,6,STFT,Theta,-,Random Forest,0.51953125
2,6,STFT,Theta,-,SVM,0.498046875
2,6,STFT,Theta,-,kNN,0.90625
2,6,STFT,Alpha,-,Random Forest,0.548828125
2,6,STFT,Alpha,-,SVM,0.498046875
2,6,STFT,Alpha,-,kNN,0.912109375
2,6,STFT,Beta,-,Random Forest,0.5625
2,6,STFT,Beta,-,SVM,0.8515625
2,6,STFT,Beta,-,kNN,0.912109375
2,6,STFT,Gamma,-,Random Forest,0.5859375
2,6,STFT,Gamma,-,SVM,0.826171875
2,6,STFT,Gamma,-,kNN,0.900390625
3,6,STFT,Delta,-,Random Forest,0.673828125
3,6,STFT,Delta,-,SVM,0.61328125
3,6,STFT,Delta,-,kNN,0.939453125
3,6,STFT,Theta,-,Random Forest,0.67578125
3,6,STFT,Theta,-,SVM,0.61328125
3,6,STFT,Theta,-,kNN,0.935546875
3,6,STFT,Alpha,-,Random Forest,0.681640625
3,6,STFT,Alpha,-,SVM,0.61328125
3,6,STFT,Alpha,-,kNN,0.947265625
3,6,STFT,Beta,-,Random Forest,0.634765625
3,6,STFT,Beta,-,SVM,0.8671875
3,6,STFT,Beta,-,kNN,0.947265625
3,6,STFT,Gamma,-,Random Forest,0.6875
3,6,STFT,Gamma,-,SVM,0.822265625
3,6,STFT,Gamma,-,kNN,0.947265625
4,6,STFT,Delta,-,Random Forest,0.59375
