Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Sadness precision,Pleasure precision,Anger precision,Joy precision,Sadness recall,Pleasure recall,Anger recall,Joy recall,Sadness f1-score,Pleasure f1-score,Anger f1-score,Joy f1-score
9,6,STFT,All bands,-,Random Forest,0.9140625,0.8706896551724138,0.9174311926605505,0.9090909090909091,0.934156378600823,0.8859649122807017,0.9009009009009009,0.8695652173913043,0.941908713692946,0.8782608695652173,0.9090909090909092,0.888888888888889,0.9380165289256197
9,6,STFT,All bands,-,SVM,0.9140625,0.8706896551724138,0.9174311926605505,0.9090909090909091,0.934156378600823,0.8859649122807017,0.9009009009009009,0.8695652173913043,0.941908713692946,0.8782608695652173,0.9090909090909092,0.888888888888889,0.9380165289256197
9,6,STFT,All bands,-,kNN,0.896484375,0.8921568627450981,0.8859649122807017,0.9090909090909091,0.9007936507936508,0.7982456140350878,0.9099099099099099,0.8695652173913043,0.941908713692946,0.8425925925925927,0.8977777777777779,0.888888888888889,0.920892494929006
10,6,STFT,All bands,-,Random Forest,0.896484375,0.9452054794520548,0.9210526315789473,0.8192771084337349,0.9371069182389937,0.7931034482758621,0.9051724137931034,0.9577464788732394,0.8922155688622755,0.8624999999999999,0.9130434782608695,0.8831168831168831,0.9141104294478527
10,6,STFT,All bands,-,SVM,0.896484375,0.9452054794520548,0.9210526315789473,0.8192771084337349,0.9371069182389937,0.7931034482758621,0.9051724137931034,0.9577464788732394,0.8922155688622755,0.8624999999999999,0.9130434782608695,0.8831168831168831,0.9141104294478527
10,6,STFT,All bands,-,kNN,0.904296875,0.95,0.872,0.8553459119496856,0.9594594594594594,0.8735632183908046,0.9396551724137931,0.9577464788732394,0.8502994011976048,0.9101796407185629,0.9045643153526971,0.9036544850498339,0.9015873015873015
11,6,STFT,All bands,-,Random Forest,0.90625,0.8090909090909091,0.9516129032258065,0.9174757281553398,0.9477611940298507,0.956989247311828,0.8676470588235294,0.8957345971563981,0.9071428571428571,0.8768472906403941,0.9076923076923077,0.9064748201438849,0.927007299270073
11,6,STFT,All bands,-,SVM,0.904296875,0.8090909090909091,0.9516129032258065,0.934010152284264,0.916083916083916,0.956989247311828,0.8676470588235294,0.8720379146919431,0.9357142857142857,0.8768472906403941,0.9076923076923077,0.9019607843137255,0.9257950530035335
11,6,STFT,All bands,-,kNN,0.89453125,0.8090909090909091,0.9516129032258065,0.946236559139785,0.8701298701298701,0.956989247311828,0.8676470588235294,0.8341232227488151,0.9571428571428572,0.8768472906403941,0.9076923076923077,0.8866498740554156,0.9115646258503401
12,6,STFT,All bands,-,Random Forest,0.951171875,0.96,0.9219512195121952,0.9444444444444444,0.975609756097561,0.8571428571428571,0.9692307692307692,0.9444444444444444,0.9486166007905138,0.9056603773584904,0.9450000000000001,0.9444444444444444,0.9619238476953909
12,6,STFT,All bands,-,SVM,0.951171875,0.96,0.9219512195121952,0.9444444444444444,0.975609756097561,0.8571428571428571,0.9692307692307692,0.9444444444444444,0.9486166007905138,0.9056603773584904,0.9450000000000001,0.9444444444444444,0.9619238476953909
12,6,STFT,All bands,-,kNN,0.9453125,0.96,0.9207920792079208,0.9444444444444444,0.963855421686747,0.8571428571428571,0.9538461538461539,0.9444444444444444,0.9486166007905138,0.9056603773584904,0.9370277078085643,0.9444444444444444,0.9561752988047809
13,6,STFT,All bands,-,Random Forest,0.93359375,1.0,0.9707112970711297,0.8421052631578947,0.9108910891089109,0.8235294117647058,0.9469387755102041,0.9056603773584906,0.934010152284264,0.9032258064516129,0.9586776859504132,0.8727272727272727,0.9223057644110276
13,6,STFT,All bands,-,SVM,0.93359375,1.0,0.9707112970711297,0.8421052631578947,0.9108910891089109,0.8235294117647058,0.9469387755102041,0.9056603773584906,0.934010152284264,0.9032258064516129,0.9586776859504132,0.8727272727272727,0.9223057644110276
13,6,STFT,All bands,-,kNN,0.9296875,1.0,0.9707112970711297,0.7936507936507936,0.9183673469387755,0.8235294117647058,0.9469387755102041,0.9433962264150944,0.9137055837563451,0.9032258064516129,0.9586776859504132,0.8620689655172413,0.916030534351145
14,6,STFT,All bands,-,Random Forest,0.931640625,0.8857142857142857,0.8862559241706162,0.9690721649484536,1.0,0.7848101265822784,0.9946808510638298,0.9306930693069307,0.9305555555555556,0.8322147651006712,0.93734335839599,0.9494949494949495,0.9640287769784173
14,6,STFT,All bands,-,SVM,0.931640625,0.8857142857142857,0.8862559241706162,0.9690721649484536,1.0,0.7848101265822784,0.9946808510638298,0.9306930693069307,0.9305555555555556,0.8322147651006712,0.93734335839599,0.9494949494949495,0.9640287769784173
14,6,STFT,All bands,-,kNN,0.931640625,0.8857142857142857,0.8862559241706162,0.9690721649484536,1.0,0.7848101265822784,0.9946808510638298,0.9306930693069307,0.9305555555555556,0.8322147651006712,0.93734335839599,0.9494949494949495,0.9640287769784173
15,6,STFT,All bands,-,Random Forest,0.9375,0.891566265060241,0.9936305732484076,1.0,0.8394160583941606,1.0,0.9397590361445783,0.8598726114649682,1.0,0.9426751592356688,0.9659442724458205,0.9246575342465754,0.9126984126984127
15,6,STFT,All bands,-,SVM,0.9375,0.891566265060241,0.9936305732484076,1.0,0.8394160583941606,1.0,0.9397590361445783,0.8598726114649682,1.0,0.9426751592356688,0.9659442724458205,0.9246575342465754,0.9126984126984127
15,6,STFT,All bands,-,kNN,0.923828125,0.9102564102564102,0.9936305732484076,0.9050632911392406,0.865546218487395,0.9594594594594594,0.9397590361445783,0.910828025477707,0.8956521739130435,0.9342105263157894,0.9659442724458205,0.9079365079365079,0.8803418803418803
16,6,STFT,All bands,-,Random Forest,0.892578125,0.8305084745762712,0.9645390070921985,0.8690476190476191,0.9181818181818182,0.91875,0.9006622516556292,0.8588235294117647,0.8706896551724138,0.8724035608308606,0.9315068493150684,0.863905325443787,0.8938053097345132
16,6,STFT,All bands,-,SVM,0.892578125,0.8305084745762712,0.9645390070921985,0.8690476190476191,0.9181818181818182,0.91875,0.9006622516556292,0.8588235294117647,0.8706896551724138,0.8724035608308606,0.9315068493150684,0.863905325443787,0.8938053097345132
16,6,STFT,All bands,-,kNN,0.880859375,0.8433734939759037,0.9507042253521126,0.8860759493670886,0.848,0.875,0.8940397350993378,0.8235294117647058,0.9137931034482759,0.8588957055214724,0.9215017064846417,0.8536585365853657,0.8796680497925311
17,6,STFT,All bands,-,Random Forest,0.9375,0.9868421052631579,0.8842105263157894,0.8870967741935484,0.9723502304147466,0.9375,0.9882352941176471,0.9482758620689655,0.9134199134199135,0.9615384615384615,0.9333333333333333,0.9166666666666667,0.9419642857142857
17,6,STFT,All bands,-,SVM,0.9375,0.9868421052631579,0.8842105263157894,0.8870967741935484,0.9723502304147466,0.9375,0.9882352941176471,0.9482758620689655,0.9134199134199135,0.9615384615384615,0.9333333333333333,0.9166666666666667,0.9419642857142857
17,6,STFT,All bands,-,kNN,0.93359375,0.9868421052631579,0.8585858585858586,0.8870967741935484,0.9765258215962441,0.9375,1.0,0.9482758620689655,0.9004329004329005,0.9615384615384615,0.9239130434782609,0.9166666666666667,0.9369369369369369
18,6,STFT,All bands,-,Random Forest,0.90625,0.8,0.9342105263157895,0.8705035971223022,0.9392712550607287,0.8888888888888888,0.8765432098765432,0.8962962962962963,0.9243027888446215,0.8421052631578948,0.9044585987261147,0.8832116788321168,0.931726907630522
18,6,STFT,All bands,-,SVM,0.90625,0.8,0.9342105263157895,0.8705035971223022,0.9392712550607287,0.8888888888888888,0.8765432098765432,0.8962962962962963,0.9243027888446215,0.8421052631578948,0.9044585987261147,0.8832116788321168,0.931726907630522
