Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Sadness precision,Pleasure precision,Anger precision,Joy precision,Sadness recall,Pleasure recall,Anger recall,Joy recall,Sadness f1-score,Pleasure f1-score,Anger f1-score,Joy f1-score
1,7,STFT,All bands,Literature,Random Forest,0.63671875,0.5433070866141733,0.696551724137931,0.0,0.65,0.6,0.7013888888888888,0.0,0.861878453038674,0.5702479338842975,0.6989619377162629,0.0,0.7410926365795726
1,7,STFT,All bands,Literature,SVM,0.5234375,0.36363636363636365,0.693069306930693,0.5,0.5432098765432098,0.41739130434782606,0.4861111111111111,0.25,0.7292817679558011,0.38866396761133604,0.5714285714285714,0.3333333333333333,0.6226415094339621
1,7,STFT,All bands,Own,Random Forest,0.703125,0.7850467289719626,0.9142857142857143,0.0,0.6,0.7304347826086957,0.6666666666666666,0.0,0.994475138121547,0.7567567567567568,0.7710843373493975,0.0,0.7484407484407485
1,7,STFT,All bands,Own,SVM,0.791015625,0.7738095238095238,0.7843137254901961,0.9090909090909091,0.7575757575757576,0.5652173913043478,0.8333333333333334,0.9722222222222222,0.8287292817679558,0.6532663316582914,0.8080808080808081,0.9395973154362416,0.7915567282321898
2,7,STFT,All bands,Literature,Random Forest,0.51953125,0.631578947368421,0.0,0.0,0.5152129817444219,0.2857142857142857,0.0,0.0,0.996078431372549,0.39344262295081966,0.0,0.0,0.679144385026738
2,7,STFT,All bands,Literature,SVM,0.5703125,0.6666666666666666,0.8333333333333334,0.3305084745762712,0.6201780415430267,0.3333333333333333,0.30927835051546393,0.3305084745762712,0.8196078431372549,0.4444444444444444,0.45112781954887227,0.3305084745762712,0.706081081081081
2,7,STFT,All bands,Own,Random Forest,0.51953125,0.631578947368421,0.0,0.0,0.5152129817444219,0.2857142857142857,0.0,0.0,0.996078431372549,0.39344262295081966,0.0,0.0,0.679144385026738
2,7,STFT,All bands,Own,SVM,0.744140625,0.813953488372093,0.7066666666666667,0.7086614173228346,0.7602996254681648,0.8333333333333334,0.5463917525773195,0.7627118644067796,0.796078431372549,0.8235294117647058,0.6162790697674418,0.7346938775510204,0.7777777777777778
3,7,STFT,All bands,Literature,Random Forest,0.666015625,0.8421052631578947,0.0,0.6470588235294118,1.0,0.17391304347826086,0.0,0.9903536977491961,0.23943661971830985,0.28828828828828834,0.0,0.7827191867852604,0.38636363636363635
3,7,STFT,All bands,Literature,SVM,0.650390625,0.5,0.6,0.6502145922746781,1.0,0.08695652173913043,0.3157894736842105,0.9742765273311897,0.14084507042253522,0.14814814814814817,0.41379310344827586,0.77992277992278,0.2469135802469136
3,7,STFT,All bands,Own,Random Forest,0.740234375,1.0,0.0,0.7004504504504504,1.0,0.5108695652173914,0.0,1.0,0.29577464788732394,0.6762589928057554,0.0,0.823841059602649,0.45652173913043476
3,7,STFT,All bands,Own,SVM,0.86328125,0.813953488372093,0.90625,0.8869047619047619,0.7758620689655172,0.7608695652173914,0.7631578947368421,0.9581993569131833,0.6338028169014085,0.7865168539325844,0.8285714285714286,0.9211746522411128,0.6976744186046512
4,7,STFT,All bands,Literature,Random Forest,0.5625,0.5253807106598984,1.0,0.0,0.6442307692307693,1.0,0.15730337078651685,0.0,0.475177304964539,0.6888519134775374,0.27184466019417475,0.0,0.5469387755102041
4,7,STFT,All bands,Literature,SVM,0.419921875,0.5337423312883436,1.0,1.0,0.3072100313479624,0.42028985507246375,0.25842696629213485,0.09333333333333334,0.6950354609929078,0.4702702702702703,0.41071428571428575,0.17073170731707318,0.42608695652173917
4,7,STFT,All bands,Own,Random Forest,0.55078125,0.5534246575342465,0.0,0.0,0.54421768707483,0.9758454106280193,0.0,0.0,0.5673758865248227,0.7062937062937061,0.0,0.0,0.5555555555555556
4,7,STFT,All bands,Own,SVM,0.673828125,0.5889212827988338,0.8571428571428571,0.7755102040816326,0.890625,0.9758454106280193,0.5393258426966292,0.5066666666666667,0.40425531914893614,0.7345454545454545,0.6620689655172413,0.6129032258064516,0.5560975609756097
5,7,STFT,All bands,Literature,Random Forest,0.53125,0.0,1.0,1.0,0.5061728395061729,0.0,0.3275862068965517,0.06796116504854369,1.0,0.0,0.49350649350649356,0.12727272727272726,0.6721311475409836
5,7,STFT,All bands,Literature,SVM,0.544921875,0.8333333333333334,0.25,0.4032258064516129,0.5729166666666666,0.23809523809523808,0.15517241379310345,0.24271844660194175,0.8943089430894309,0.37037037037037035,0.1914893617021277,0.30303030303030304,0.6984126984126984
5,7,STFT,All bands,Own,Random Forest,0.56640625,1.0,0.0,0.0,0.5256410256410257,0.41904761904761906,0.0,0.0,1.0,0.5906040268456376,0.0,0.0,0.689075630252101
5,7,STFT,All bands,Own,SVM,0.759765625,0.7391304347826086,0.5,0.8504672897196262,0.8075313807531381,0.6476190476190476,0.6379310344827587,0.883495145631068,0.7845528455284553,0.6903553299492385,0.5606060606060607,0.8666666666666667,0.7958762886597939
6,7,STFT,All bands,Literature,Random Forest,0.63671875,0.0,0.0,0.573170731707317,0.75,0.0,0.0,1.0,0.6764705882352942,0.0,0.0,0.7286821705426356,0.7113402061855669
6,7,STFT,All bands,Literature,SVM,0.58984375,0.8,1.0,0.5560747663551402,0.5190476190476191,0.8727272727272727,0.14634146341463414,0.6329787234042553,0.5343137254901961,0.8347826086956521,0.2553191489361702,0.5920398009950248,0.5265700483091788
6,7,STFT,All bands,Own,Random Forest,0.65234375,0.0,0.8636363636363636,0.5714285714285714,0.7888198757763976,0.0,0.4634146341463415,1.0,0.6225490196078431,0.0,0.6031746031746033,0.7272727272727273,0.6958904109589041
