Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Happy precision,Sad precision,Happy recall,Sad recall,Happy f1-score,Sad f1-score
1,4,STFT,All bands,Literature,Random Forest,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Literature,SVM,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Literature,kNN,0.95703125,0.950207468879668,0.9630996309963099,0.9581589958158996,0.9560439560439561,0.9541666666666666,0.9595588235294118
1,4,STFT,All bands,Own,Random Forest,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Own,SVM,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Own,kNN,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
2,4,STFT,All bands,Literature,Random Forest,0.94921875,0.9598540145985401,0.9369747899159664,0.9460431654676259,0.9529914529914529,0.9528985507246377,0.9449152542372881
2,4,STFT,All bands,Literature,SVM,0.88671875,0.8374233128834356,0.9731182795698925,0.9820143884892086,0.7735042735042735,0.9039735099337749,0.861904761904762
2,4,STFT,All bands,Literature,kNN,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,Random Forest,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,SVM,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,kNN,0.958984375,0.9326599326599326,0.9953488372093023,0.9964028776978417,0.9145299145299145,0.9634782608695653,0.953229398663697
3,4,STFT,All bands,Literature,Random Forest,0.9375,0.9267399267399268,0.9497907949790795,0.9547169811320755,0.9190283400809717,0.9405204460966543,0.934156378600823
3,4,STFT,All bands,Literature,SVM,0.84765625,0.7912772585669782,0.9424083769633508,0.9584905660377359,0.728744939271255,0.8668941979522183,0.821917808219178
3,4,STFT,All bands,Literature,kNN,0.92578125,0.9127272727272727,0.9409282700421941,0.9471698113207547,0.902834008097166,0.9296296296296297,0.9214876033057852
3,4,STFT,All bands,Own,Random Forest,0.9375,0.9267399267399268,0.9497907949790795,0.9547169811320755,0.9190283400809717,0.9405204460966543,0.934156378600823
3,4,STFT,All bands,Own,SVM,0.908203125,0.8978102189781022,0.9201680672268907,0.9283018867924528,0.8866396761133604,0.9128014842300556,0.9030927835051545
3,4,STFT,All bands,Own,kNN,0.9375,0.9267399267399268,0.9497907949790795,0.9547169811320755,0.9190283400809717,0.9405204460966543,0.934156378600823
5,4,STFT,All bands,Literature,Random Forest,0.923828125,0.9664429530201343,0.8644859813084113,0.9085173501577287,0.9487179487179487,0.9365853658536586,0.9046454767726161
5,4,STFT,All bands,Literature,SVM,0.865234375,0.9133333333333333,0.7971698113207547,0.8643533123028391,0.8666666666666667,0.8881685575364667,0.8304668304668305
5,4,STFT,All bands,Literature,kNN,0.90625,0.9559322033898305,0.8387096774193549,0.889589905362776,0.9333333333333333,0.9215686274509804,0.883495145631068
5,4,STFT,All bands,Own,Random Forest,0.923828125,0.9664429530201343,0.8644859813084113,0.9085173501577287,0.9487179487179487,0.9365853658536586,0.9046454767726161
5,4,STFT,All bands,Own,SVM,0.923828125,0.954248366013072,0.8786407766990292,0.9211356466876972,0.9282051282051282,0.9373996789727127,0.9027431421446385
5,4,STFT,All bands,Own,kNN,0.923828125,0.9664429530201343,0.8644859813084113,0.9085173501577287,0.9487179487179487,0.9365853658536586,0.9046454767726161
6,4,STFT,All bands,Literature,Random Forest,0.953125,0.9633507853403142,0.9230769230769231,0.9735449735449735,0.8955223880597015,0.9684210526315788,0.9090909090909091
6,4,STFT,All bands,Literature,SVM,0.9375,0.9625668449197861,0.8695652173913043,0.9523809523809523,0.8955223880597015,0.9574468085106382,0.8823529411764706
6,4,STFT,All bands,Literature,kNN,0.94921875,0.9559585492227979,0.9285714285714286,0.9761904761904762,0.8731343283582089,0.9659685863874345,0.9
6,4,STFT,All bands,Own,Random Forest,0.953125,0.9633507853403142,0.9230769230769231,0.9735449735449735,0.8955223880597015,0.9684210526315788,0.9090909090909091
6,4,STFT,All bands,Own,SVM,0.9375,0.9675675675675676,0.8591549295774648,0.9470899470899471,0.9104477611940298,0.9572192513368984,0.8840579710144928
6,4,STFT,All bands,Own,kNN,0.953125,0.9633507853403142,0.9230769230769231,0.9735449735449735,0.8955223880597015,0.9684210526315788,0.9090909090909091
7,4,STFT,All bands,Literature,Random Forest,0.96875,0.9882005899705014,0.930635838150289,0.9654178674351584,0.9757575757575757,0.9766763848396501,0.9526627218934911
7,4,STFT,All bands,Literature,SVM,0.96875,0.9882005899705014,0.930635838150289,0.9654178674351584,0.9757575757575757,0.9766763848396501,0.9526627218934911
7,4,STFT,All bands,Literature,kNN,0.96875,0.9882005899705014,0.930635838150289,0.9654178674351584,0.9757575757575757,0.9766763848396501,0.9526627218934911
7,4,STFT,All bands,Own,Random Forest,0.96875,0.9882005899705014,0.930635838150289,0.9654178674351584,0.9757575757575757,0.9766763848396501,0.9526627218934911
