10,100.0,rbf,11
10,100.0,rbf,11
10,100.0,rbf,8
10,10.0,rbf,7
10,100.0,rbf,11
10,100.0,linear,11
10,100.0,rbf,9
10,100.0,9
10,100.0,11
10,100.0,11
10,100.0,9
10,100.0,8
10,100.0,11
10,10.0,9
10,100.0,11
10,100.0,11
10,100.0,8
10,100.0,9
10,10.0,8
10,100.0,7
5,100.0,11
10,100.0,11
10,100.0,8
10,100.0,9
10,10.0,9
10,100.0,9
10,100.0,9
10,100.0,7
10,100.0,5
10,100.0,11
10,10.0,5
10,100.0,11
10,100.0,9
10,100.0,11
10,100.0,11
10,100.0,9
10,100.0,9
10,100.0,8
10,100.0,8
10,100.0,11
10,100.0,7
5,100.0,11
5,100.0,11
10,100.0,6
10,10.0,11
10,10.0,11
10,100.0,7
10,100.0,11
10,100.0,11
10,100.0,11
10,100.0,5
5,10.0,6
5,100.0,5
5,100.0,11
10,100.0,8
10,10.0,5
10,100.0,5
10,100.0,9
10,100.0,9
10,100.0,7
10,100.0,6
10,100.0,7
