Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy
14,2,STFT,Gamma,-,SVM,0.65234375
14,2,STFT,Gamma,-,kNN,0.9609375
15,2,STFT,Delta,-,Random Forest,0.724609375
15,2,STFT,Delta,-,SVM,0.55859375
15,2,STFT,Delta,-,kNN,0.9609375
15,2,STFT,Theta,-,Random Forest,0.78515625
15,2,STFT,Theta,-,SVM,0.611328125
15,2,STFT,Theta,-,kNN,0.970703125
15,2,STFT,Alpha,-,Random Forest,0.826171875
15,2,STFT,Alpha,-,SVM,0.65625
15,2,STFT,Alpha,-,kNN,0.958984375
15,2,STFT,Beta,-,Random Forest,0.794921875
15,2,STFT,Beta,-,SVM,0.970703125
15,2,STFT,Beta,-,kNN,0.9609375
15,2,STFT,Gamma,-,Random Forest,0.85546875
15,2,STFT,Gamma,-,SVM,0.849609375
15,2,STFT,Gamma,-,kNN,0.970703125
16,2,STFT,Delta,-,Random Forest,0.759765625
16,2,STFT,Delta,-,SVM,0.642578125
16,2,STFT,Delta,-,kNN,0.919921875
16,2,STFT,Theta,-,Random Forest,0.822265625
16,2,STFT,Theta,-,SVM,0.642578125
16,2,STFT,Theta,-,kNN,0.912109375
16,2,STFT,Alpha,-,Random Forest,0.796875
16,2,STFT,Alpha,-,SVM,0.642578125
16,2,STFT,Alpha,-,kNN,0.921875
16,2,STFT,Beta,-,Random Forest,0.83203125
16,2,STFT,Beta,-,SVM,0.8828125
16,2,STFT,Beta,-,kNN,0.919921875
16,2,STFT,Gamma,-,Random Forest,0.81640625
16,2,STFT,Gamma,-,SVM,0.814453125
16,2,STFT,Gamma,-,kNN,0.91796875
17,2,STFT,Delta,-,Random Forest,0.76171875
17,2,STFT,Delta,-,SVM,0.568359375
17,2,STFT,Delta,-,kNN,0.94921875
17,2,STFT,Theta,-,Random Forest,0.734375
17,2,STFT,Theta,-,SVM,0.568359375
17,2,STFT,Theta,-,kNN,0.9453125
17,2,STFT,Alpha,-,Random Forest,0.763671875
17,2,STFT,Alpha,-,SVM,0.568359375
17,2,STFT,Alpha,-,kNN,0.96484375
17,2,STFT,Beta,-,Random Forest,0.86328125
17,2,STFT,Beta,-,SVM,0.931640625
17,2,STFT,Beta,-,kNN,0.939453125
17,2,STFT,Gamma,-,Random Forest,0.88671875
17,2,STFT,Gamma,-,SVM,0.7109375
17,2,STFT,Gamma,-,kNN,0.96484375
18,2,STFT,Delta,-,Random Forest,0.73828125
18,2,STFT,Delta,-,SVM,0.603515625
18,2,STFT,Delta,-,kNN,0.95703125
18,2,STFT,Theta,-,Random Forest,0.8515625
18,2,STFT,Theta,-,SVM,0.603515625
18,2,STFT,Theta,-,kNN,0.95703125
18,2,STFT,Alpha,-,Random Forest,0.876953125
18,2,STFT,Alpha,-,SVM,0.603515625
18,2,STFT,Alpha,-,kNN,0.95703125
18,2,STFT,Beta,-,Random Forest,0.81640625
18,2,STFT,Beta,-,SVM,0.869140625
18,2,STFT,Beta,-,kNN,0.955078125
18,2,STFT,Gamma,-,Random Forest,0.818359375
18,2,STFT,Gamma,-,SVM,0.93359375
18,2,STFT,Gamma,-,kNN,0.95703125
19,2,STFT,Delta,-,Random Forest,0.78515625
19,2,STFT,Delta,-,SVM,0.59375
19,2,STFT,Delta,-,kNN,0.9609375
19,2,STFT,Theta,-,Random Forest,0.69921875
19,2,STFT,Theta,-,SVM,0.59375
19,2,STFT,Theta,-,kNN,0.966796875
19,2,STFT,Alpha,-,Random Forest,0.69921875
19,2,STFT,Alpha,-,SVM,0.65234375
19,2,STFT,Alpha,-,kNN,0.962890625
19,2,STFT,Beta,-,Random Forest,0.81640625
19,2,STFT,Beta,-,SVM,0.931640625
19,2,STFT,Beta,-,kNN,0.962890625
19,2,STFT,Gamma,-,Random Forest,0.87109375
19,2,STFT,Gamma,-,SVM,0.787109375
19,2,STFT,Gamma,-,kNN,0.962890625
20,2,STFT,Delta,-,Random Forest,0.861328125
20,2,STFT,Delta,-,SVM,0.57421875
20,2,STFT,Delta,-,kNN,0.978515625
20,2,STFT,Theta,-,Random Forest,0.87890625
20,2,STFT,Theta,-,SVM,0.57421875
20,2,STFT,Theta,-,kNN,0.970703125
20,2,STFT,Alpha,-,Random Forest,0.796875
20,2,STFT,Alpha,-,SVM,0.57421875
20,2,STFT,Alpha,-,kNN,0.978515625
20,2,STFT,Beta,-,Random Forest,0.89453125
20,2,STFT,Beta,-,SVM,0.939453125
20,2,STFT,Beta,-,kNN,0.982421875
20,2,STFT,Gamma,-,Random Forest,0.87890625
20,2,STFT,Gamma,-,SVM,0.87109375
20,2,STFT,Gamma,-,kNN,0.982421875
21,2,STFT,Delta,-,Random Forest,0.796875
21,2,STFT,Delta,-,SVM,0.5234375
21,2,STFT,Delta,-,kNN,0.955078125
21,2,STFT,Theta,-,Random Forest,0.8671875
21,2,STFT,Theta,-,SVM,0.5234375
21,2,STFT,Theta,-,kNN,0.94921875
21,2,STFT,Alpha,-,Random Forest,0.87109375
21,2,STFT,Alpha,-,SVM,0.5234375
21,2,STFT,Alpha,-,kNN,0.94921875
21,2,STFT,Beta,-,Random Forest,0.892578125
21,2,STFT,Beta,-,SVM,0.87890625
21,2,STFT,Beta,-,kNN,0.943359375
21,2,STFT,Gamma,-,Random Forest,0.875
21,2,STFT,Gamma,-,SVM,0.916015625
21,2,STFT,Gamma,-,kNN,0.9453125
22,2,STFT,Delta,-,Random Forest,0.66015625
22,2,STFT,Delta,-,SVM,0.56640625
22,2,STFT,Delta,-,kNN,0.939453125
22,2,STFT,Theta,-,Random Forest,0.783203125
22,2,STFT,Theta,-,SVM,0.5703125
22,2,STFT,Theta,-,kNN,0.939453125
22,2,STFT,Alpha,-,Random Forest,0.755859375
22,2,STFT,Alpha,-,SVM,0.59375
22,2,STFT,Alpha,-,kNN,0.94140625
22,2,STFT,Beta,-,Random Forest,0.693359375
22,2,STFT,Beta,-,SVM,0.826171875
22,2,STFT,Beta,-,kNN,0.939453125
22,2,STFT,Gamma,-,Random Forest,0.84375
22,2,STFT,Gamma,-,SVM,0.75
22,2,STFT,Gamma,-,kNN,0.953125
23,2,STFT,Delta,-,Random Forest,0.7265625
23,2,STFT,Delta,-,SVM,0.66015625
23,2,STFT,Delta,-,kNN,0.970703125
23,2,STFT,Theta,-,Random Forest,0.90234375
23,2,STFT,Theta,-,SVM,0.66015625
23,2,STFT,Theta,-,kNN,0.95703125
23,2,STFT,Alpha,-,Random Forest,0.888671875
23,2,STFT,Alpha,-,SVM,0.66015625
23,2,STFT,Alpha,-,kNN,0.974609375
23,2,STFT,Beta,-,Random Forest,0.87890625
23,2,STFT,Beta,-,SVM,0.892578125
23,2,STFT,Beta,-,kNN,0.955078125
23,2,STFT,Gamma,-,Random Forest,0.86328125
23,2,STFT,Gamma,-,SVM,0.91015625
23,2,STFT,Gamma,-,kNN,0.962890625
24,2,STFT,Delta,-,Random Forest,0.7578125
24,2,STFT,Delta,-,SVM,0.572265625
24,2,STFT,Delta,-,kNN,0.95703125
24,2,STFT,Theta,-,Random Forest,0.71875
24,2,STFT,Theta,-,SVM,0.62890625
24,2,STFT,Theta,-,kNN,0.96484375
24,2,STFT,Alpha,-,Random Forest,0.728515625
24,2,STFT,Alpha,-,SVM,0.6796875
24,2,STFT,Alpha,-,kNN,0.951171875
24,2,STFT,Beta,-,Random Forest,0.775390625
24,2,STFT,Beta,-,SVM,0.931640625
24,2,STFT,Beta,-,kNN,0.953125
24,2,STFT,Gamma,-,Random Forest,0.783203125
24,2,STFT,Gamma,-,SVM,0.697265625
24,2,STFT,Gamma,-,kNN,0.958984375
25,2,STFT,Delta,-,Random Forest,0.73046875
25,2,STFT,Delta,-,SVM,0.525390625
25,2,STFT,Delta,-,kNN,0.939453125
25,2,STFT,Theta,-,Random Forest,0.767578125
25,2,STFT,Theta,-,SVM,0.61328125
25,2,STFT,Theta,-,kNN,0.93359375
25,2,STFT,Alpha,-,Random Forest,0.8203125
25,2,STFT,Alpha,-,SVM,0.654296875
25,2,STFT,Alpha,-,kNN,0.939453125
25,2,STFT,Beta,-,Random Forest,0.80859375
25,2,STFT,Beta,-,SVM,0.79296875
25,2,STFT,Beta,-,kNN,0.94140625
25,2,STFT,Gamma,-,Random Forest,0.755859375
25,2,STFT,Gamma,-,SVM,0.8046875
25,2,STFT,Gamma,-,kNN,0.939453125
26,2,STFT,Delta,-,Random Forest,0.77734375
26,2,STFT,Delta,-,SVM,0.681640625
26,2,STFT,Delta,-,kNN,0.970703125
26,2,STFT,Theta,-,Random Forest,0.8125
26,2,STFT,Theta,-,SVM,0.681640625
26,2,STFT,Theta,-,kNN,0.97265625
26,2,STFT,Alpha,-,Random Forest,0.775390625
26,2,STFT,Alpha,-,SVM,0.681640625
26,2,STFT,Alpha,-,kNN,0.970703125
26,2,STFT,Beta,-,Random Forest,0.7890625
26,2,STFT,Beta,-,SVM,0.865234375
26,2,STFT,Beta,-,kNN,0.970703125
26,2,STFT,Gamma,-,Random Forest,0.818359375
26,2,STFT,Gamma,-,SVM,0.908203125
26,2,STFT,Gamma,-,kNN,0.96875
27,2,STFT,Delta,-,Random Forest,0.755859375
27,2,STFT,Delta,-,SVM,0.74609375
27,2,STFT,Delta,-,kNN,0.9375
27,2,STFT,Theta,-,Random Forest,0.82421875
27,2,STFT,Theta,-,SVM,0.74609375
27,2,STFT,Theta,-,kNN,0.9296875
27,2,STFT,Alpha,-,Random Forest,0.82421875
27,2,STFT,Alpha,-,SVM,0.74609375
27,2,STFT,Alpha,-,kNN,0.92578125
27,2,STFT,Beta,-,Random Forest,0.822265625
27,2,STFT,Beta,-,SVM,0.8671875
27,2,STFT,Beta,-,kNN,0.9296875
27,2,STFT,Gamma,-,Random Forest,0.865234375
27,2,STFT,Gamma,-,SVM,0.86328125
27,2,STFT,Gamma,-,kNN,0.943359375
28,2,STFT,Delta,-,Random Forest,0.798828125
28,2,STFT,Delta,-,SVM,0.6171875
28,2,STFT,Delta,-,kNN,0.935546875
28,2,STFT,Theta,-,Random Forest,0.71484375
28,2,STFT,Theta,-,SVM,0.6171875
28,2,STFT,Theta,-,kNN,0.9453125
28,2,STFT,Alpha,-,Random Forest,0.728515625
28,2,STFT,Alpha,-,SVM,0.6171875
28,2,STFT,Alpha,-,kNN,0.927734375
28,2,STFT,Beta,-,Random Forest,0.779296875
28,2,STFT,Beta,-,SVM,0.919921875
28,2,STFT,Beta,-,kNN,0.94140625
28,2,STFT,Gamma,-,Random Forest,0.771484375
28,2,STFT,Gamma,-,SVM,0.79296875
28,2,STFT,Gamma,-,kNN,0.935546875
29,2,STFT,Delta,-,Random Forest,0.80078125
29,2,STFT,Delta,-,SVM,0.5390625
29,2,STFT,Delta,-,kNN,0.98046875
29,2,STFT,Theta,-,Random Forest,0.857421875
29,2,STFT,Theta,-,SVM,0.5390625
29,2,STFT,Theta,-,kNN,0.96875
29,2,STFT,Alpha,-,Random Forest,0.8359375
29,2,STFT,Alpha,-,SVM,0.572265625
29,2,STFT,Alpha,-,kNN,0.970703125
29,2,STFT,Beta,-,Random Forest,0.6640625
29,2,STFT,Beta,-,SVM,0.888671875
29,2,STFT,Beta,-,kNN,0.95703125
29,2,STFT,Gamma,-,Random Forest,0.826171875
29,2,STFT,Gamma,-,SVM,0.88671875
29,2,STFT,Gamma,-,kNN,0.958984375
30,2,STFT,Delta,-,Random Forest,0.826171875
30,2,STFT,Delta,-,SVM,0.685546875
30,2,STFT,Delta,-,kNN,0.939453125
30,2,STFT,Theta,-,Random Forest,0.78125
30,2,STFT,Theta,-,SVM,0.685546875
30,2,STFT,Theta,-,kNN,0.9296875
30,2,STFT,Alpha,-,Random Forest,0.78125
30,2,STFT,Alpha,-,SVM,0.685546875
30,2,STFT,Alpha,-,kNN,0.947265625
30,2,STFT,Beta,-,Random Forest,0.732421875
30,2,STFT,Beta,-,SVM,0.794921875
30,2,STFT,Beta,-,kNN,0.947265625
30,2,STFT,Gamma,-,Random Forest,0.79296875
30,2,STFT,Gamma,-,SVM,0.873046875
30,2,STFT,Gamma,-,kNN,0.939453125
31,2,STFT,Delta,-,Random Forest,0.794921875
31,2,STFT,Delta,-,SVM,0.609375
31,2,STFT,Delta,-,kNN,0.9375
31,2,STFT,Theta,-,Random Forest,0.876953125
31,2,STFT,Theta,-,SVM,0.609375
31,2,STFT,Theta,-,kNN,0.951171875
31,2,STFT,Alpha,-,Random Forest,0.880859375
31,2,STFT,Alpha,-,SVM,0.609375
31,2,STFT,Alpha,-,kNN,0.923828125
31,2,STFT,Beta,-,Random Forest,0.865234375
31,2,STFT,Beta,-,SVM,0.876953125
31,2,STFT,Beta,-,kNN,0.939453125
31,2,STFT,Gamma,-,Random Forest,0.859375
31,2,STFT,Gamma,-,SVM,0.9140625
31,2,STFT,Gamma,-,kNN,0.94140625
32,2,STFT,Delta,-,Random Forest,0.75
32,2,STFT,Delta,-,SVM,0.5703125
32,2,STFT,Delta,-,kNN,0.953125
32,2,STFT,Theta,-,Random Forest,0.80078125
32,2,STFT,Theta,-,SVM,0.490234375
32,2,STFT,Theta,-,kNN,0.95703125
32,2,STFT,Alpha,-,Random Forest,0.806640625
32,2,STFT,Alpha,-,SVM,0.53125
32,2,STFT,Alpha,-,kNN,0.9453125
32,2,STFT,Beta,-,Random Forest,0.798828125
32,2,STFT,Beta,-,SVM,0.849609375
32,2,STFT,Beta,-,kNN,0.953125
32,2,STFT,Gamma,-,Random Forest,0.796875
32,2,STFT,Gamma,-,SVM,0.912109375
32,2,STFT,Gamma,-,kNN,0.958984375
