Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy
1,2,STFT,Delta,-,Random Forest,0.833984375
1,2,STFT,Delta,-,SVM,0.552734375
1,2,STFT,Delta,-,kNN,0.958984375
1,2,STFT,Theta,-,Random Forest,0.947265625
1,2,STFT,Theta,-,SVM,0.552734375
1,2,STFT,Theta,-,kNN,0.96484375
1,2,STFT,Alpha,-,Random Forest,0.966796875
1,2,STFT,Alpha,-,SVM,0.552734375
1,2,STFT,Alpha,-,kNN,0.962890625
1,2,STFT,Beta,-,Random Forest,0.90234375
1,2,STFT,Beta,-,SVM,0.931640625
1,2,STFT,Beta,-,kNN,0.966796875
1,2,STFT,Gamma,-,Random Forest,0.90625
1,2,STFT,Gamma,-,SVM,0.84375
1,2,STFT,Gamma,-,kNN,0.966796875
2,2,STFT,Delta,-,Random Forest,0.853515625
2,2,STFT,Delta,-,SVM,0.54296875
2,2,STFT,Delta,-,kNN,0.94140625
2,2,STFT,Theta,-,Random Forest,0.77734375
2,2,STFT,Theta,-,SVM,0.54296875
2,2,STFT,Theta,-,kNN,0.955078125
2,2,STFT,Alpha,-,Random Forest,0.751953125
2,2,STFT,Alpha,-,SVM,0.54296875
2,2,STFT,Alpha,-,kNN,0.94921875
2,2,STFT,Beta,-,Random Forest,0.87109375
2,2,STFT,Beta,-,SVM,0.857421875
2,2,STFT,Beta,-,kNN,0.9609375
2,2,STFT,Gamma,-,Random Forest,0.77734375
2,2,STFT,Gamma,-,SVM,0.783203125
2,2,STFT,Gamma,-,kNN,0.9609375
3,2,STFT,Delta,-,Random Forest,0.787109375
3,2,STFT,Delta,-,SVM,0.517578125
3,2,STFT,Delta,-,kNN,0.927734375
3,2,STFT,Theta,-,Random Forest,0.89453125
3,2,STFT,Theta,-,SVM,0.517578125
3,2,STFT,Theta,-,kNN,0.9140625
3,2,STFT,Alpha,-,Random Forest,0.880859375
3,2,STFT,Alpha,-,SVM,0.529296875
3,2,STFT,Alpha,-,kNN,0.92578125
3,2,STFT,Beta,-,Random Forest,0.80859375
3,2,STFT,Beta,-,SVM,0.80078125
3,2,STFT,Beta,-,kNN,0.9375
3,2,STFT,Gamma,-,Random Forest,0.767578125
3,2,STFT,Gamma,-,SVM,0.853515625
3,2,STFT,Gamma,-,kNN,0.9375
4,2,STFT,Delta,-,Random Forest,0.740234375
4,2,STFT,Delta,-,SVM,0.615234375
4,2,STFT,Delta,-,kNN,0.91796875
4,2,STFT,Theta,-,Random Forest,0.72265625
4,2,STFT,Theta,-,SVM,0.615234375
4,2,STFT,Theta,-,kNN,0.923828125
4,2,STFT,Alpha,-,Random Forest,0.712890625
4,2,STFT,Alpha,-,SVM,0.615234375
4,2,STFT,Alpha,-,kNN,0.921875
4,2,STFT,Beta,-,Random Forest,0.705078125
4,2,STFT,Beta,-,SVM,0.66796875
4,2,STFT,Beta,-,kNN,0.939453125
4,2,STFT,Gamma,-,Random Forest,0.681640625
4,2,STFT,Gamma,-,SVM,0.697265625
4,2,STFT,Gamma,-,kNN,0.9296875
5,2,STFT,Delta,-,Random Forest,0.798828125
5,2,STFT,Delta,-,SVM,0.552734375
5,2,STFT,Delta,-,kNN,0.916015625
5,2,STFT,Theta,-,Random Forest,0.818359375
5,2,STFT,Theta,-,SVM,0.619140625
5,2,STFT,Theta,-,kNN,0.91796875
5,2,STFT,Alpha,-,Random Forest,0.83203125
5,2,STFT,Alpha,-,SVM,0.58984375
5,2,STFT,Alpha,-,kNN,0.90625
5,2,STFT,Beta,-,Random Forest,0.73046875
5,2,STFT,Beta,-,SVM,0.751953125
5,2,STFT,Beta,-,kNN,0.923828125
5,2,STFT,Gamma,-,Random Forest,0.806640625
5,2,STFT,Gamma,-,SVM,0.826171875
5,2,STFT,Gamma,-,kNN,0.908203125
6,2,STFT,Delta,-,Random Forest,0.779296875
6,2,STFT,Delta,-,SVM,0.751953125
6,2,STFT,Delta,-,kNN,0.93359375
6,2,STFT,Theta,-,Random Forest,0.8359375
6,2,STFT,Theta,-,SVM,0.751953125
6,2,STFT,Theta,-,kNN,0.927734375
6,2,STFT,Alpha,-,Random Forest,0.8359375
6,2,STFT,Alpha,-,SVM,0.751953125
6,2,STFT,Alpha,-,kNN,0.943359375
6,2,STFT,Beta,-,Random Forest,0.814453125
6,2,STFT,Beta,-,SVM,0.896484375
6,2,STFT,Beta,-,kNN,0.953125
6,2,STFT,Gamma,-,Random Forest,0.876953125
6,2,STFT,Gamma,-,SVM,0.90234375
6,2,STFT,Gamma,-,kNN,0.921875
7,2,STFT,Delta,-,Random Forest,0.8125
7,2,STFT,Delta,-,SVM,0.677734375
7,2,STFT,Delta,-,kNN,0.953125
7,2,STFT,Theta,-,Random Forest,0.90625
7,2,STFT,Theta,-,SVM,0.677734375
7,2,STFT,Theta,-,kNN,0.96875
7,2,STFT,Alpha,-,Random Forest,0.93359375
7,2,STFT,Alpha,-,SVM,0.677734375
7,2,STFT,Alpha,-,kNN,0.95703125
7,2,STFT,Beta,-,Random Forest,0.841796875
7,2,STFT,Beta,-,SVM,0.89453125
7,2,STFT,Beta,-,kNN,0.96875
7,2,STFT,Gamma,-,Random Forest,0.767578125
7,2,STFT,Gamma,-,SVM,0.78125
7,2,STFT,Gamma,-,kNN,0.96875
8,2,STFT,Delta,-,Random Forest,0.880859375
8,2,STFT,Delta,-,SVM,0.5546875
8,2,STFT,Delta,-,kNN,0.94140625
8,2,STFT,Theta,-,Random Forest,0.80078125
8,2,STFT,Theta,-,SVM,0.5546875
8,2,STFT,Theta,-,kNN,0.939453125
8,2,STFT,Alpha,-,Random Forest,0.7578125
8,2,STFT,Alpha,-,SVM,0.591796875
8,2,STFT,Alpha,-,kNN,0.943359375
8,2,STFT,Beta,-,Random Forest,0.8125
8,2,STFT,Beta,-,SVM,0.869140625
8,2,STFT,Beta,-,kNN,0.943359375
8,2,STFT,Gamma,-,Random Forest,0.865234375
8,2,STFT,Gamma,-,SVM,0.841796875
8,2,STFT,Gamma,-,kNN,0.943359375
9,2,STFT,Delta,-,Random Forest,0.740234375
9,2,STFT,Delta,-,SVM,0.533203125
9,2,STFT,Delta,-,kNN,0.923828125
9,2,STFT,Theta,-,Random Forest,0.80859375
9,2,STFT,Theta,-,SVM,0.650390625
9,2,STFT,Theta,-,kNN,0.94140625
9,2,STFT,Alpha,-,Random Forest,0.76953125
9,2,STFT,Alpha,-,SVM,0.595703125
9,2,STFT,Alpha,-,kNN,0.927734375
9,2,STFT,Beta,-,Random Forest,0.744140625
9,2,STFT,Beta,-,SVM,0.828125
9,2,STFT,Beta,-,kNN,0.923828125
9,2,STFT,Gamma,-,Random Forest,0.7734375
9,2,STFT,Gamma,-,SVM,0.6328125
9,2,STFT,Gamma,-,kNN,0.921875
10,2,STFT,Delta,-,Random Forest,0.833984375
10,2,STFT,Delta,-,SVM,0.466796875
10,2,STFT,Delta,-,kNN,0.943359375
10,2,STFT,Theta,-,Random Forest,0.890625
10,2,STFT,Theta,-,SVM,0.45703125
10,2,STFT,Theta,-,kNN,0.951171875
10,2,STFT,Alpha,-,Random Forest,0.880859375
10,2,STFT,Alpha,-,SVM,0.716796875
10,2,STFT,Alpha,-,kNN,0.951171875
10,2,STFT,Beta,-,Random Forest,0.837890625
10,2,STFT,Beta,-,SVM,0.927734375
10,2,STFT,Beta,-,kNN,0.94921875
10,2,STFT,Gamma,-,Random Forest,0.9140625
10,2,STFT,Gamma,-,SVM,0.80859375
10,2,STFT,Gamma,-,kNN,0.96484375
11,2,STFT,Delta,-,Random Forest,0.751953125
11,2,STFT,Delta,-,SVM,0.62890625
11,2,STFT,Delta,-,kNN,0.939453125
11,2,STFT,Theta,-,Random Forest,0.70703125
11,2,STFT,Theta,-,SVM,0.62890625
11,2,STFT,Theta,-,kNN,0.9375
11,2,STFT,Alpha,-,Random Forest,0.775390625
11,2,STFT,Alpha,-,SVM,0.646484375
11,2,STFT,Alpha,-,kNN,0.96484375
11,2,STFT,Beta,-,Random Forest,0.7265625
11,2,STFT,Beta,-,SVM,0.703125
11,2,STFT,Beta,-,kNN,0.935546875
11,2,STFT,Gamma,-,Random Forest,0.7109375
11,2,STFT,Gamma,-,SVM,0.73046875
11,2,STFT,Gamma,-,kNN,0.951171875
12,2,STFT,Delta,-,Random Forest,0.8671875
12,2,STFT,Delta,-,SVM,0.55859375
12,2,STFT,Delta,-,kNN,0.96875
12,2,STFT,Theta,-,Random Forest,0.884765625
12,2,STFT,Theta,-,SVM,0.513671875
12,2,STFT,Theta,-,kNN,0.966796875
12,2,STFT,Alpha,-,Random Forest,0.8046875
12,2,STFT,Alpha,-,SVM,0.630859375
12,2,STFT,Alpha,-,kNN,0.96875
12,2,STFT,Beta,-,Random Forest,0.876953125
12,2,STFT,Beta,-,SVM,0.755859375
12,2,STFT,Beta,-,kNN,0.9609375
12,2,STFT,Gamma,-,Random Forest,0.87890625
12,2,STFT,Gamma,-,SVM,0.94140625
12,2,STFT,Gamma,-,kNN,0.96875
13,2,STFT,Delta,-,Random Forest,0.876953125
13,2,STFT,Delta,-,SVM,0.587890625
13,2,STFT,Delta,-,kNN,0.958984375
13,2,STFT,Theta,-,Random Forest,0.763671875
13,2,STFT,Theta,-,SVM,0.587890625
13,2,STFT,Theta,-,kNN,0.94140625
13,2,STFT,Alpha,-,Random Forest,0.900390625
13,2,STFT,Alpha,-,SVM,0.654296875
13,2,STFT,Alpha,-,kNN,0.94921875
13,2,STFT,Beta,-,Random Forest,0.87109375
13,2,STFT,Beta,-,SVM,0.92578125
13,2,STFT,Beta,-,kNN,0.947265625
13,2,STFT,Gamma,-,Random Forest,0.7890625
13,2,STFT,Gamma,-,SVM,0.90234375
13,2,STFT,Gamma,-,kNN,0.95703125
14,2,STFT,Delta,-,Random Forest,0.826171875
14,2,STFT,Delta,-,SVM,0.685546875
14,2,STFT,Delta,-,kNN,0.9609375
14,2,STFT,Theta,-,Random Forest,0.830078125
14,2,STFT,Theta,-,SVM,0.728515625
14,2,STFT,Theta,-,kNN,0.97265625
14,2,STFT,Alpha,-,Random Forest,0.861328125
14,2,STFT,Alpha,-,SVM,0.7109375
14,2,STFT,Alpha,-,kNN,0.970703125
14,2,STFT,Beta,-,Random Forest,0.76171875
14,2,STFT,Beta,-,SVM,0.9140625
14,2,STFT,Beta,-,kNN,0.9609375
14,2,STFT,Gamma,-,Random Forest,0.650390625
