10,100.0,rbf,5
10,10.0,rbf,9
5,100.0,rbf,11
10,100.0,rbf,8
10,100.0,rbf,6
5,100.0,linear,8
10,100.0,rbf,11
10,100.0,linear,11
10,100.0,rbf,5
10,100.0,linear,8
10,100.0,rbf,11
10,100.0,rbf,11
10,100.0,rbf,5
10,100.0,rbf,9
10,100.0,rbf,11
10,100.0,rbf,11
10,100.0,rbf,9
5,10.0,linear,6
10,100.0,rbf,9
10,100.0,rbf,8
10,100.0,rbf,11
5,100.0,rbf,9
5,100.0,linear,9
10,100.0,rbf,5
5,10.0,linear,11
5,100.0,rbf,11
5,100.0,rbf,11
10,100.0,rbf,5
10,10.0,rbf,11
5,100.0,rbf,11
5,100.0,linear,6
10,100.0,rbf,11
10,100.0,rbf,7
10,100.0,rbf,9
10,100.0,rbf,9
10,100.0,rbf,5
10,10.0,linear,11
10,100.0,rbf,11
10,10.0,rbf,11
10,100.0,rbf,7
10,100.0,rbf,5
10,100.0,linear,11
10,100.0,rbf,11
10,100.0,rbf,9
10,100.0,rbf,11
10,100.0,rbf,6
10,100.0,rbf,11
10,100.0,linear,9
10,100.0,rbf,11
5,10.0,linear,11
10,100.0,rbf,11
5,100.0,linear,8
5,100.0,rbf,11
10,100.0,rbf,7
10,100.0,rbf,7
5,100.0,linear,5
10,100.0,rbf,11
10,10.0,rbf,11
5,100.0,rbf,5
10,10.0,rbf,11
10,100.0,rbf,11
10,100.0,linear,9
