Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Happy precision,Sad precision,Happy recall,Sad recall,Happy f1-score,Sad f1-score
1,3,STFT,All bands,-,Random Forest,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,3,STFT,All bands,-,SVM,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,3,STFT,All bands,-,kNN,0.9609375,0.9506172839506173,0.9702602230483272,0.9665271966527197,0.9560439560439561,0.9585062240663901,0.96309963099631
2,3,STFT,All bands,-,Random Forest,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,3,STFT,All bands,-,SVM,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,3,STFT,All bands,-,kNN,0.958984375,0.9326599326599326,0.9953488372093023,0.9964028776978417,0.9145299145299145,0.9634782608695653,0.953229398663697
3,3,STFT,All bands,-,Random Forest,0.9375,0.9267399267399268,0.9497907949790795,0.9547169811320755,0.9190283400809717,0.9405204460966543,0.934156378600823
3,3,STFT,All bands,-,SVM,0.9375,0.9267399267399268,0.9497907949790795,0.9547169811320755,0.9190283400809717,0.9405204460966543,0.934156378600823
3,3,STFT,All bands,-,kNN,0.943359375,0.943609022556391,0.943089430894309,0.9471698113207547,0.9392712550607287,0.9453860640301319,0.9411764705882353
4,3,STFT,All bands,-,Random Forest,0.939453125,0.9424083769633508,0.9376947040498442,0.9,0.9647435897435898,0.9207161125319693,0.9510268562401263
4,3,STFT,All bands,-,SVM,0.939453125,0.9424083769633508,0.9376947040498442,0.9,0.9647435897435898,0.9207161125319693,0.9510268562401263
4,3,STFT,All bands,-,kNN,0.9375,0.9285714285714286,0.9430379746835443,0.91,0.9551282051282052,0.9191919191919193,0.9490445859872612
5,3,STFT,All bands,-,Random Forest,0.923828125,0.9664429530201343,0.8644859813084113,0.9085173501577287,0.9487179487179487,0.9365853658536586,0.9046454767726161
5,3,STFT,All bands,-,SVM,0.923828125,0.9664429530201343,0.8644859813084113,0.9085173501577287,0.9487179487179487,0.9365853658536586,0.9046454767726161
5,3,STFT,All bands,-,kNN,0.908203125,0.9623287671232876,0.8363636363636363,0.886435331230284,0.9435897435897436,0.922824302134647,0.8867469879518073
6,3,STFT,All bands,-,Random Forest,0.953125,0.9633507853403142,0.9230769230769231,0.9735449735449735,0.8955223880597015,0.9684210526315788,0.9090909090909091
6,3,STFT,All bands,-,SVM,0.9375,0.9675675675675676,0.8591549295774648,0.9470899470899471,0.9104477611940298,0.9572192513368984,0.8840579710144928
6,3,STFT,All bands,-,kNN,0.955078125,0.9658792650918635,0.9236641221374046,0.9735449735449735,0.9029850746268657,0.9696969696969697,0.9132075471698112
7,3,STFT,All bands,-,Random Forest,0.96875,0.9882005899705014,0.930635838150289,0.9654178674351584,0.9757575757575757,0.9766763848396501,0.9526627218934911
7,3,STFT,All bands,-,SVM,0.96875,0.9882005899705014,0.930635838150289,0.9654178674351584,0.9757575757575757,0.9766763848396501,0.9526627218934911
7,3,STFT,All bands,-,kNN,0.96875,0.9882005899705014,0.930635838150289,0.9654178674351584,0.9757575757575757,0.9766763848396501,0.9526627218934911
8,3,STFT,All bands,-,Random Forest,0.943359375,0.9920634920634921,0.8961538461538462,0.9025270758122743,0.9914893617021276,0.9451795841209829,0.9414141414141415
8,3,STFT,All bands,-,SVM,0.943359375,0.9920634920634921,0.8961538461538462,0.9025270758122743,0.9914893617021276,0.9451795841209829,0.9414141414141415
8,3,STFT,All bands,-,kNN,0.94921875,0.9735849056603774,0.9230769230769231,0.9314079422382672,0.9702127659574468,0.9520295202952028,0.9460580912863071
9,3,STFT,All bands,-,Random Forest,0.92578125,0.9690265486725663,0.8916083916083916,0.876,0.9732824427480916,0.9201680672268907,0.9306569343065694
9,3,STFT,All bands,-,SVM,0.92578125,0.9690265486725663,0.8916083916083916,0.876,0.9732824427480916,0.9201680672268907,0.9306569343065694
9,3,STFT,All bands,-,kNN,0.935546875,0.9656652360515021,0.910394265232975,0.9,0.9694656488549618,0.9316770186335404,0.9390018484288355
