10,125.0,rbf,9
10,100.0,rbf,8
5,50.0,rbf,13
5,50.0,linear,9
10,50.0,rbf,7
10,20.0,rbf,12
5,125.0,rbf,11
10,100.0,rbf,12
15,125.0,rbf,13
5,20.0,linear,11
5,100.0,rbf,11
5,50.0,rbf,13
10,100.0,rbf,11
10,20.0,rbf,11
5,125.0,rbf,13
5,50.0,rbf,9
10,125.0,rbf,11
10,50.0,rbf,13
10,100.0,rbf,9
10,20.0,rbf,9
10,50.0,rbf,7
10,20.0,linear,11
10,125.0,rbf,11
10,20.0,rbf,11
10,125.0,rbf,7
10,125.0,rbf,12
10,20.0,rbf,9
15,100.0,rbf,11
15,100.0,rbf,7
10,125.0,rbf,13
10,100.0,linear,13
10,125.0,rbf,11
5,20.0,linear,11
15,50.0,rbf,11
5,20.0,linear,12
5,125.0,rbf,11
10,50.0,rbf,13
10,100.0,rbf,13
5,20.0,linear,11
10,125.0,rbf,11
10,20.0,rbf,11
5,100.0,rbf,11
10,20.0,linear,11
10,125.0,rbf,11
10,50.0,linear,9
