Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Happy precision,Sad precision,Happy recall,Sad recall,Happy f1-score,Sad f1-score
1,1,-,-,-,Random Forest,0.6491505456349206,0.5764016609468914,0.975108317050378,0.990453849411918,0.33939501463674265,0.7287197065944339,0.5035314762009213
1,1,-,-,-,SVM,0.5541449652777778,0.5221026110856619,0.6212353731056973,0.7426774834652853,0.3830391200212898,0.6131561604777211,0.4738892648753452
1,1,-,-,-,kNN,0.8100818452380952,0.774509512042633,0.8487210167189471,0.847587397777995,0.7760430527218427,0.8094023210229925,0.810756541348738
2,1,-,-,-,Random Forest,0.7393973214285714,0.706131115322524,0.9913609782030834,0.9983873368729221,0.30814674047756757,0.8272041441404403,0.47015442798613305
2,1,-,-,-,SVM,0.5431237599206349,0.6392431098313451,0.3971736414740787,0.6168808614102119,0.4203090142939767,0.6278629327542234,0.4084139536750833
2,1,-,-,-,kNN,0.7883029513888888,0.794783301254397,0.773134482937186,0.8913065052349526,0.6167892258117822,0.8402820821687115,0.6861686237562331
3,1,-,-,-,Random Forest,0.6977616567460317,0.6484356341055648,0.9640908640015872,0.9898477157360406,0.3368220412406862,0.7835671787585471,0.4992295048284364
3,1,-,-,-,SVM,0.5401630704365079,0.5666103428342746,0.47926691921777415,0.7147264211795721,0.3244498353838156,0.632107645563341,0.3869474467337618
3,1,-,-,-,kNN,0.7054036458333334,0.7062933597621407,0.70391685988738,0.7994503183105701,0.5891873158897938,0.7499901337858637,0.6414624483558775
4,1,-,-,-,Random Forest,0.5998573908730159,0.0,0.5998573908730159,0.0,1.0,0.0,0.7498885766883054
4,1,-,-,-,SVM,0.49286954365079366,0.36999924659082345,0.5787810145920034,0.3804912063221508,0.5678329629438214,0.3751718869365928,0.5732547219033706
4,1,-,-,-,kNN,0.6802920386904762,0.6173716353766117,0.713089820076874,0.528666615015108,0.7814357331128223,0.5695861766731359,0.745700018494544
5,1,-,-,-,Random Forest,0.7127976190476191,0.6760774758550064,0.9768888888888889,0.9952694097159046,0.2954414532048082,0.8051939859110504,0.4536769475732736
5,1,-,-,-,SVM,0.5257936507936508,0.5946030297937723,0.4004112165886522,0.6437501624515894,0.351511194746342,0.6182013329006814,0.37437113992392324
5,1,-,-,-,kNN,0.785187251984127,0.7860147335641746,0.7835296308365532,0.8791360174667949,0.6463765889627098,0.8299715351393797,0.7083754208754208
6,1,-,-,-,Random Forest,0.8400452628968254,0.8255806034189198,0.9870242214532872,0.9984556143566089,0.35770267728384225,0.9038259005545458,0.525104698789636
6,1,-,-,-,SVM,0.6589936755952381,0.7629161882893226,0.28383592968415033,0.7936288944257974,0.24904382719919743,0.7779695400732735,0.2653040777477207
6,1,-,-,-,kNN,0.875914558531746,0.8632406677652791,0.9573929064947029,0.9923810308259374,0.5212866010408176,0.9233171441982546,0.6750294320626802
7,1,-,-,-,Random Forest,0.7237103174603174,0.7171960778091582,1.0,1.0,0.076954945624029,0.8353106404996858,0.142912098480477
7,1,-,-,-,SVM,0.5763578869047619,0.6948624013258319,0.28503270076123083,0.7049466837750542,0.2753495598135681,0.6998682187568634,0.2801074702349594
7,1,-,-,-,kNN,0.7038690476190477,0.744317543531174,0.5092776076382634,0.8794743595416132,0.2928016571724495,0.8062710420638463,0.3718269104300933
8,1,-,-,-,Random Forest,0.6452752976190477,0.6096363887736762,0.9554753309265944,0.9916788485325537,0.21948859709744298,0.7550836936512694,0.3569742609868495
8,1,-,-,-,SVM,0.5301959325396826,0.5703479980755867,0.47475828474426157,0.5998819296075565,0.44454042847270214,0.5847422793412435,0.45915271779863664
