Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Sadness precision,Pleasure precision,Anger precision,Joy precision,Sadness recall,Pleasure recall,Anger recall,Joy recall,Sadness f1-score,Pleasure f1-score,Anger f1-score,Joy f1-score
1,6,STFT,All bands,-,Random Forest,0.740234375,0.7850467289719626,0.9224137931034483,1.0,0.6405693950177936,0.7304347826086957,0.7430555555555556,0.1111111111111111,0.994475138121547,0.7567567567567568,0.8230769230769232,0.19999999999999998,0.7792207792207793
1,6,STFT,All bands,-,SVM,0.939453125,0.9464285714285714,0.9492753623188406,0.918918918918919,0.9361702127659575,0.9217391304347826,0.9097222222222222,0.9444444444444444,0.9723756906077348,0.9339207048458149,0.9290780141843973,0.9315068493150684,0.9539295392953929
1,6,STFT,All bands,-,kNN,0.93359375,0.9464285714285714,0.9060402684563759,0.918918918918919,0.9548022598870056,0.9217391304347826,0.9375,0.9444444444444444,0.9337016574585635,0.9339207048458149,0.9215017064846417,0.9315068493150684,0.9441340782122905
2,6,STFT,All bands,-,Random Forest,0.51953125,0.631578947368421,0.0,0.0,0.5152129817444219,0.2857142857142857,0.0,0.0,0.996078431372549,0.39344262295081966,0.0,0.0,0.679144385026738
2,6,STFT,All bands,-,SVM,0.90625,0.7755102040816326,0.9882352941176471,0.8962264150943396,0.9080882352941176,0.9047619047619048,0.865979381443299,0.8050847457627118,0.9686274509803922,0.8351648351648353,0.9230769230769231,0.8482142857142857,0.937381404174573
2,6,STFT,All bands,-,kNN,0.912109375,0.8292682926829268,0.9888888888888889,0.8727272727272727,0.915129151291513,0.8095238095238095,0.9175257731958762,0.8135593220338984,0.9725490196078431,0.8192771084337348,0.9518716577540107,0.8421052631578948,0.9429657794676806
3,6,STFT,All bands,-,Random Forest,0.703125,1.0,0.0,0.67170626349892,1.0,0.42391304347826086,0.0,1.0,0.14084507042253522,0.5954198473282443,0.0,0.8036175710594315,0.2469135802469136
3,6,STFT,All bands,-,SVM,0.947265625,0.91,0.8292682926829268,0.9832775919732442,0.9166666666666666,0.9891304347826086,0.8947368421052632,0.9453376205787781,0.9295774647887324,0.9479166666666667,0.860759493670886,0.9639344262295081,0.9230769230769231
3,6,STFT,All bands,-,kNN,0.943359375,0.9166666666666666,0.8292682926829268,0.9614147909967846,0.96875,0.9565217391304348,0.8947368421052632,0.9614147909967846,0.8732394366197183,0.9361702127659574,0.860759493670886,0.9614147909967846,0.9185185185185184
4,6,STFT,All bands,-,Random Forest,0.560546875,0.5151515151515151,0.0,1.0,0.6972477064220184,0.9855072463768116,0.0,0.09333333333333334,0.5390070921985816,0.6766169154228857,0.0,0.17073170731707318,0.608
4,6,STFT,All bands,-,SVM,0.75,0.8248587570621468,0.6694915254237288,0.6176470588235294,0.8347826086956521,0.7053140096618358,0.8876404494382022,0.84,0.6808510638297872,0.7604166666666666,0.7632850241545893,0.711864406779661,0.75
4,6,STFT,All bands,-,kNN,0.892578125,0.9295774647887324,0.896551724137931,0.8833333333333333,0.8421052631578947,0.9565217391304348,0.8764044943820225,0.7066666666666667,0.9078014184397163,0.9428571428571428,0.8863636363636365,0.7851851851851853,0.8737201365187712
6,6,STFT,All bands,-,Random Forest,0.56640625,1.0,0.0,0.0,0.5256410256410257,0.41904761904761906,0.0,0.0,1.0,0.5906040268456376,0.0,0.0,0.689075630252101
6,6,STFT,All bands,-,SVM,0.908203125,0.9207920792079208,0.8703703703703703,0.9238095238095239,0.9047619047619048,0.8857142857142857,0.8103448275862069,0.941747572815534,0.926829268292683,0.9029126213592233,0.8392857142857144,0.9326923076923078,0.9156626506024096
6,6,STFT,All bands,-,kNN,0.91015625,0.9207920792079208,0.8703703703703703,0.95,0.8988326848249028,0.8857142857142857,0.8103448275862069,0.9223300970873787,0.9390243902439024,0.9029126213592233,0.8392857142857144,0.9359605911330049,0.9184890656063619
5,6,STFT,All bands,-,Random Forest,0.56640625,1.0,0.0,0.0,0.5256410256410257,0.41904761904761906,0.0,0.0,1.0,0.5906040268456376,0.0,0.0,0.689075630252101
5,6,STFT,All bands,-,SVM,0.908203125,0.8899082568807339,0.8703703703703703,0.9238095238095239,0.9180327868852459,0.9238095238095239,0.8103448275862069,0.941747572815534,0.9105691056910569,0.9065420560747663,0.8392857142857144,0.9326923076923078,0.9142857142857143
5,6,STFT,All bands,-,kNN,0.91015625,0.9207920792079208,0.8703703703703703,0.95,0.8988326848249028,0.8857142857142857,0.8103448275862069,0.9223300970873787,0.9390243902439024,0.9029126213592233,0.8392857142857144,0.9359605911330049,0.9184890656063619
7,6,STFT,All bands,-,Random Forest,0.60546875,0.0,1.0,1.0,0.5480984340044742,0.0,0.13333333333333333,0.4453125,1.0,0.0,0.23529411764705882,0.6162162162162163,0.708092485549133
7,6,STFT,All bands,-,SVM,0.90625,0.8928571428571429,0.8387096774193549,0.8709677419354839,0.9462809917355371,0.9493670886075949,0.8666666666666667,0.84375,0.9346938775510204,0.920245398773006,0.8524590163934426,0.8571428571428571,0.9404517453798767
7,6,STFT,All bands,-,kNN,0.90234375,0.8928571428571429,0.8596491228070176,0.8260869565217391,0.9613733905579399,0.9493670886075949,0.8166666666666667,0.890625,0.9142857142857143,0.920245398773006,0.8376068376068376,0.8571428571428571,0.9372384937238494
8,6,STFT,All bands,-,Random Forest,0.63671875,0.0,0.6785714285714286,0.0,0.6285046728971962,0.0,0.4672131147540984,0.0,1.0,0.0,0.5533980582524273,0.0,0.7718794835007174
8,6,STFT,All bands,-,SVM,0.875,0.9069767441860465,0.7243589743589743,0.8493150684931506,0.975,0.78,0.9262295081967213,0.8732394366197183,0.8698884758364313,0.8387096774193548,0.8129496402877698,0.861111111111111,0.9194499017681729
8,6,STFT,All bands,-,kNN,0.90234375,0.8909090909090909,0.868421052631579,0.7802197802197802,0.9642857142857143,0.98,0.8114754098360656,1.0,0.9033457249070632,0.9333333333333333,0.8389830508474576,0.8765432098765432,0.9328214971209213
9,6,STFT,All bands,-,Random Forest,0.630859375,0.62,0.9375,0.0,0.6078947368421053,0.543859649122807,0.2702702702702703,0.0,0.9585062240663901,0.5794392523364487,0.41958041958041964,0.0,0.7439613526570049
9,6,STFT,All bands,-,SVM,0.869140625,0.897196261682243,0.9574468085106383,0.6052631578947368,0.9063829787234042,0.8421052631578947,0.8108108108108109,1.0,0.8838174273858921,0.8687782805429863,0.878048780487805,0.7540983606557378,0.8949579831932772
9,6,STFT,All bands,-,kNN,0.89453125,0.9247311827956989,0.8859649122807017,0.8301886792452831,0.9007936507936508,0.7543859649122807,0.9099099099099099,0.9565217391304348,0.941908713692946,0.8309178743961353,0.8977777777777779,0.888888888888889,0.920892494929006
10,6,STFT,All bands,-,Random Forest,0.708984375,0.0,0.860655737704918,0.8046875,0.5916030534351145,0.0,0.9051724137931034,0.7253521126760564,0.9281437125748503,0.0,0.8823529411764706,0.762962962962963,0.7226107226107226
10,6,STFT,All bands,-,SVM,0.896484375,0.9452054794520548,0.9210526315789473,0.8192771084337349,0.9371069182389937,0.7931034482758621,0.9051724137931034,0.9577464788732394,0.8922155688622755,0.8624999999999999,0.9130434782608695,0.8831168831168831,0.9141104294478527
10,6,STFT,All bands,-,kNN,0.904296875,0.95,0.872,0.8553459119496856,0.9594594594594594,0.8735632183908046,0.9396551724137931,0.9577464788732394,0.8502994011976048,0.9101796407185629,0.9045643153526971,0.9036544850498339,0.9015873015873015
11,6,STFT,All bands,-,Random Forest,0.515625,0.0,0.0,0.5480769230769231,0.465,0.0,0.0,0.8104265402843602,0.6642857142857143,0.0,0.0,0.6539196940726578,0.5470588235294118
11,6,STFT,All bands,-,SVM,0.822265625,0.8,0.6704545454545454,0.8586387434554974,0.8872180451127819,0.8602150537634409,0.8676470588235294,0.7772511848341233,0.8428571428571429,0.8290155440414508,0.7564102564102564,0.8159203980099502,0.8644688644688644
11,6,STFT,All bands,-,kNN,0.89453125,0.8090909090909091,0.9516129032258065,0.946236559139785,0.8701298701298701,0.956989247311828,0.8676470588235294,0.8341232227488151,0.9571428571428572,0.8768472906403941,0.9076923076923077,0.8866498740554156,0.9115646258503401
12,6,STFT,All bands,-,Random Forest,0.7890625,0.0,0.8524590163934426,0.0,0.7537993920972644,0.0,0.8,0.0,0.9802371541501976,0.0,0.8253968253968254,0.0,0.852233676975945
12,6,STFT,All bands,-,SVM,0.9453125,0.96,0.8935185185185185,0.9444444444444444,0.9914893617021276,0.8571428571428571,0.9897435897435898,0.9444444444444444,0.9209486166007905,0.9056603773584904,0.9391727493917273,0.9444444444444444,0.9549180327868853
