Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Happy precision,Sad precision,Happy recall,Sad recall,Happy f1-score,Sad f1-score
12,4,STFT,All bands,Literature,Random Forest,0.96875,0.9660377358490566,0.97165991902834,0.973384030418251,0.963855421686747,0.9696969696969696,0.967741935483871
12,4,STFT,All bands,Literature,SVM,0.91015625,0.918918918918919,0.9011857707509882,0.9049429657794676,0.9156626506024096,0.9118773946360154,0.9083665338645418
12,4,STFT,All bands,Literature,kNN,0.9609375,0.9619771863117871,0.9598393574297188,0.9619771863117871,0.9598393574297188,0.9619771863117871,0.9598393574297188
12,4,STFT,All bands,Own,Random Forest,0.96875,0.9660377358490566,0.97165991902834,0.973384030418251,0.963855421686747,0.9696969696969696,0.967741935483871
12,4,STFT,All bands,Own,SVM,0.96875,0.9660377358490566,0.97165991902834,0.973384030418251,0.963855421686747,0.9696969696969696,0.967741935483871
12,4,STFT,All bands,Own,kNN,0.966796875,0.948905109489051,0.9873949579831933,0.9885931558935361,0.9437751004016064,0.9683426443202979,0.9650924024640658
13,4,STFT,All bands,Literature,Random Forest,0.951171875,0.9609756097560975,0.9446254071661238,0.9205607476635514,0.9731543624161074,0.9403341288782816,0.9586776859504132
13,4,STFT,All bands,Literature,SVM,0.896484375,0.9259259259259259,0.8792569659442725,0.8177570093457944,0.9530201342281879,0.8684863523573202,0.9146537842190016
13,4,STFT,All bands,Literature,kNN,0.947265625,0.9230769230769231,0.9656357388316151,0.9532710280373832,0.9429530201342282,0.9379310344827586,0.9541595925297114
13,4,STFT,All bands,Own,Random Forest,0.95703125,0.9285714285714286,0.9791666666666666,0.9719626168224299,0.9463087248322147,0.949771689497717,0.962457337883959
13,4,STFT,All bands,Own,SVM,0.95703125,0.9285714285714286,0.9791666666666666,0.9719626168224299,0.9463087248322147,0.949771689497717,0.962457337883959
13,4,STFT,All bands,Own,kNN,0.951171875,0.9436619718309859,0.9565217391304348,0.9392523364485982,0.959731543624161,0.9414519906323185,0.9581239530988275
1,4,STFT,All bands,Literature,Random Forest,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Literature,SVM,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Literature,kNN,0.95703125,0.950207468879668,0.9630996309963099,0.9581589958158996,0.9560439560439561,0.9541666666666666,0.9595588235294118
1,4,STFT,All bands,Own,Random Forest,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Own,SVM,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
1,4,STFT,All bands,Own,kNN,0.966796875,0.937007874015748,0.9961240310077519,0.99581589958159,0.9413919413919414,0.9655172413793104,0.967984934086629
2,4,STFT,All bands,Literature,Random Forest,0.94921875,0.9598540145985401,0.9369747899159664,0.9460431654676259,0.9529914529914529,0.9528985507246377,0.9449152542372881
2,4,STFT,All bands,Literature,SVM,0.89453125,0.8636363636363636,0.9411764705882353,0.9568345323741008,0.8205128205128205,0.9078498293515359,0.8767123287671232
2,4,STFT,All bands,Literature,kNN,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,Random Forest,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,SVM,0.9609375,0.9479166666666666,0.9776785714285714,0.9820143884892086,0.9358974358974359,0.9646643109540636,0.9563318777292577
2,4,STFT,All bands,Own,kNN,0.958984375,0.9326599326599326,0.9953488372093023,0.9964028776978417,0.9145299145299145,0.9634782608695653,0.953229398663697
14,4,STFT,All bands,Literature,Random Forest,0.97265625,1.0,0.9501779359430605,0.9428571428571428,1.0,0.9705882352941176,0.9744525547445256
14,4,STFT,All bands,Literature,SVM,0.888671875,0.8357142857142857,0.9525862068965517,0.9551020408163265,0.8277153558052435,0.8914285714285715,0.8857715430861725
14,4,STFT,All bands,Literature,kNN,0.97265625,1.0,0.9501779359430605,0.9428571428571428,1.0,0.9705882352941176,0.9744525547445256
14,4,STFT,All bands,Own,Random Forest,0.97265625,1.0,0.9501779359430605,0.9428571428571428,1.0,0.9705882352941176,0.9744525547445256
14,4,STFT,All bands,Own,SVM,0.97265625,1.0,0.9501779359430605,0.9428571428571428,1.0,0.9705882352941176,0.9744525547445256
14,4,STFT,All bands,Own,kNN,0.9609375,0.9591836734693877,0.9625468164794008,0.9591836734693877,0.9625468164794008,0.9591836734693877,0.9625468164794008
15,4,STFT,All bands,Literature,Random Forest,0.97265625,0.9869565217391304,0.9609929078014184,0.9537815126050421,0.9890510948905109,0.9700854700854702,0.974820143884892
15,4,STFT,All bands,Literature,SVM,0.90234375,0.876,0.9274809160305344,0.9201680672268907,0.8868613138686131,0.8975409836065573,0.9067164179104478
15,4,STFT,All bands,Literature,kNN,0.97265625,0.9869565217391304,0.9609929078014184,0.9537815126050421,0.9890510948905109,0.9700854700854702,0.974820143884892
15,4,STFT,All bands,Own,Random Forest,0.97265625,0.9869565217391304,0.9609929078014184,0.9537815126050421,0.9890510948905109,0.9700854700854702,0.974820143884892
15,4,STFT,All bands,Own,SVM,0.97265625,0.9869565217391304,0.9609929078014184,0.9537815126050421,0.9890510948905109,0.9700854700854702,0.974820143884892
15,4,STFT,All bands,Own,kNN,0.97265625,0.9869565217391304,0.9609929078014184,0.9537815126050421,0.9890510948905109,0.9700854700854702,0.974820143884892
16,4,STFT,All bands,Literature,Random Forest,0.927734375,0.9244186046511628,0.9294117647058824,0.8688524590163934,0.9604863221884499,0.8957746478873239,0.9446935724962631
16,4,STFT,All bands,Literature,SVM,0.912109375,0.9207317073170732,0.9080459770114943,0.825136612021858,0.9604863221884499,0.8703170028818445,0.9335302806499263
16,4,STFT,All bands,Literature,kNN,0.921875,0.8950276243093923,0.9365558912386707,0.8852459016393442,0.9422492401215805,0.8901098901098902,0.9393939393939393
16,4,STFT,All bands,Own,Random Forest,0.927734375,0.9244186046511628,0.9294117647058824,0.8688524590163934,0.9604863221884499,0.8957746478873239,0.9446935724962631
16,4,STFT,All bands,Own,SVM,0.927734375,0.9244186046511628,0.9294117647058824,0.8688524590163934,0.9604863221884499,0.8957746478873239,0.9446935724962631
16,4,STFT,All bands,Own,kNN,0.91796875,0.8852459016393442,0.9361702127659575,0.8852459016393442,0.9361702127659575,0.8852459016393442,0.9361702127659575
17,4,STFT,All bands,Literature,Random Forest,0.94921875,0.9816176470588235,0.9125,0.9270833333333334,0.9776785714285714,0.9535714285714285,0.9439655172413793
17,4,STFT,All bands,Literature,SVM,0.94921875,0.9486301369863014,0.95,0.9618055555555556,0.9330357142857143,0.9551724137931035,0.9414414414414415
17,4,STFT,All bands,Literature,kNN,0.94921875,0.9816176470588235,0.9125,0.9270833333333334,0.9776785714285714,0.9535714285714285,0.9439655172413793
17,4,STFT,All bands,Own,Random Forest,0.94921875,0.9816176470588235,0.9125,0.9270833333333334,0.9776785714285714,0.9535714285714285,0.9439655172413793
17,4,STFT,All bands,Own,SVM,0.96484375,0.9753521126760564,0.9517543859649122,0.9618055555555556,0.96875,0.9685314685314687,0.9601769911504425
17,4,STFT,All bands,Own,kNN,0.96484375,0.9753521126760564,0.9517543859649122,0.9618055555555556,0.96875,0.9685314685314687,0.9601769911504425
18,4,STFT,All bands,Literature,Random Forest,0.95703125,0.9697986577181208,0.9392523364485982,0.956953642384106,0.9571428571428572,0.9633333333333334,0.9481132075471699
18,4,STFT,All bands,Literature,SVM,0.955078125,0.9603960396039604,0.9473684210526315,0.9635761589403974,0.9428571428571428,0.9619834710743801,0.945107398568019
18,4,STFT,All bands,Literature,kNN,0.95703125,0.9697986577181208,0.9392523364485982,0.956953642384106,0.9571428571428572,0.9633333333333334,0.9481132075471699
18,4,STFT,All bands,Own,Random Forest,0.95703125,0.9697986577181208,0.9392523364485982,0.956953642384106,0.9571428571428572,0.9633333333333334,0.9481132075471699
18,4,STFT,All bands,Own,SVM,0.95703125,0.9697986577181208,0.9392523364485982,0.956953642384106,0.9571428571428572,0.9633333333333334,0.9481132075471699
18,4,STFT,All bands,Own,kNN,0.95703125,0.9697986577181208,0.9392523364485982,0.956953642384106,0.9571428571428572,0.9633333333333334,0.9481132075471699
19,4,STFT,All bands,Literature,Random Forest,0.96875,0.9895470383275261,0.9422222222222222,0.9562289562289562,0.986046511627907,0.9726027397260273,0.9636363636363636
19,4,STFT,All bands,Literature,SVM,0.87890625,0.8778135048231511,0.8805970149253731,0.9191919191919192,0.8232558139534883,0.8980263157894737,0.8509615384615384
19,4,STFT,All bands,Literature,kNN,0.96875,0.9895470383275261,0.9422222222222222,0.9562289562289562,0.986046511627907,0.9726027397260273,0.9636363636363636
