Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Sadness precision,Pleasure precision,Anger precision,Joy precision,Sadness recall,Pleasure recall,Anger recall,Joy recall,Sadness f1-score,Pleasure f1-score,Anger f1-score,Joy f1-score
17,5,STFT,Delta,-,Random Forest,0.9375,0.9868421052631579,0.8842105263157894,0.8870967741935484,0.9723502304147466,0.9375,0.9882352941176471,0.9482758620689655,0.9134199134199135,0.9615384615384615,0.9333333333333333,0.9166666666666667,0.9419642857142857
17,5,STFT,Delta,-,SVM,0.45703125,0.0,1.0,0.0,0.4538310412573674,0.0,0.03529411764705882,0.0,1.0,0.0,0.06818181818181818,0.0,0.6243243243243244
17,5,STFT,Delta,-,kNN,0.927734375,0.9868421052631579,0.8842105263157894,0.9026548672566371,0.9385964912280702,0.9375,0.9882352941176471,0.8793103448275862,0.9264069264069265,0.9615384615384615,0.9333333333333333,0.8908296943231441,0.9324618736383443
17,5,STFT,theta,-,Random Forest,0.9375,0.9868421052631579,0.8842105263157894,0.8870967741935484,0.9723502304147466,0.9375,0.9882352941176471,0.9482758620689655,0.9134199134199135,0.9615384615384615,0.9333333333333333,0.9166666666666667,0.9419642857142857
17,5,STFT,theta,-,SVM,0.5078125,0.7708333333333334,1.0,0.0,0.4772234273318872,0.4625,0.03529411764705882,0.0,0.9523809523809523,0.5781250000000001,0.06818181818181818,0.0,0.6358381502890174
17,5,STFT,theta,-,kNN,0.919921875,0.9868421052631579,0.9382716049382716,0.8739495798319328,0.9152542372881356,0.9375,0.8941176470588236,0.896551724137931,0.935064935064935,0.9615384615384615,0.9156626506024096,0.8851063829787235,0.925053533190578
17,5,STFT,alpha,-,Random Forest,0.9375,0.9868421052631579,0.8842105263157894,0.8870967741935484,0.9723502304147466,0.9375,0.9882352941176471,0.9482758620689655,0.9134199134199135,0.9615384615384615,0.9333333333333333,0.9166666666666667,0.9419642857142857
17,5,STFT,alpha,-,SVM,0.45703125,0.0,1.0,0.0,0.4538310412573674,0.0,0.03529411764705882,0.0,1.0,0.0,0.06818181818181818,0.0,0.6243243243243244
17,5,STFT,alpha,-,kNN,0.93359375,0.9868421052631579,0.8842105263157894,0.8615384615384616,0.981042654028436,0.9375,0.9882352941176471,0.9655172413793104,0.8961038961038961,0.9615384615384615,0.9333333333333333,0.9105691056910569,0.9366515837104072
17,5,STFT,beta,-,Random Forest,0.9375,0.9868421052631579,0.8842105263157894,0.8870967741935484,0.9723502304147466,0.9375,0.9882352941176471,0.9482758620689655,0.9134199134199135,0.9615384615384615,0.9333333333333333,0.9166666666666667,0.9419642857142857
17,5,STFT,beta,-,SVM,0.927734375,0.9868421052631579,0.8842105263157894,0.9026548672566371,0.9385964912280702,0.9375,0.9882352941176471,0.8793103448275862,0.9264069264069265,0.9615384615384615,0.9333333333333333,0.8908296943231441,0.9324618736383443
17,5,STFT,beta,-,kNN,0.921875,0.9605263157894737,0.9259259259259259,0.8709677419354839,0.935064935064935,0.9125,0.8823529411764706,0.9310344827586207,0.935064935064935,0.935897435897436,0.9036144578313252,0.9,0.935064935064935
17,5,STFT,gamma,-,Random Forest,0.9375,0.9868421052631579,0.8842105263157894,0.8870967741935484,0.9723502304147466,0.9375,0.9882352941176471,0.9482758620689655,0.9134199134199135,0.9615384615384615,0.9333333333333333,0.9166666666666667,0.9419642857142857
17,5,STFT,gamma,-,SVM,0.9375,0.9868421052631579,0.8842105263157894,0.8870967741935484,0.9723502304147466,0.9375,0.9882352941176471,0.9482758620689655,0.9134199134199135,0.9615384615384615,0.9333333333333333,0.9166666666666667,0.9419642857142857
17,5,STFT,gamma,-,kNN,0.9140625,0.9868421052631579,0.8585858585858586,0.8981481481481481,0.9213973799126638,0.9375,1.0,0.8362068965517241,0.9134199134199135,0.9615384615384615,0.9239130434782609,0.8660714285714286,0.9173913043478261
18,5,STFT,Delta,-,Random Forest,0.90625,0.8,0.9342105263157895,0.8705035971223022,0.9392712550607287,0.8888888888888888,0.8765432098765432,0.8962962962962963,0.9243027888446215,0.8421052631578948,0.9044585987261147,0.8832116788321168,0.931726907630522
18,5,STFT,Delta,-,SVM,0.490234375,0.0,0.0,0.0,0.490234375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6579292267365662
18,5,STFT,Delta,-,kNN,0.884765625,0.8,0.9342105263157895,0.8382352941176471,0.912,0.8888888888888888,0.8765432098765432,0.8444444444444444,0.9083665338645418,0.8421052631578948,0.9044585987261147,0.8413284132841329,0.9101796407185629
18,5,STFT,theta,-,Random Forest,0.90625,0.8,0.9342105263157895,0.8705035971223022,0.9392712550607287,0.8888888888888888,0.8765432098765432,0.8962962962962963,0.9243027888446215,0.8421052631578948,0.9044585987261147,0.8832116788321168,0.931726907630522
18,5,STFT,theta,-,SVM,0.490234375,0.0,0.0,0.0,0.490234375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6579292267365662
18,5,STFT,theta,-,kNN,0.900390625,0.8,0.8620689655172413,0.8705035971223022,0.9533898305084746,0.8888888888888888,0.9259259259259259,0.8962962962962963,0.896414342629482,0.8421052631578948,0.8928571428571429,0.8832116788321168,0.9240246406570842
18,5,STFT,alpha,-,Random Forest,0.90625,0.8,0.9342105263157895,0.8705035971223022,0.9392712550607287,0.8888888888888888,0.8765432098765432,0.8962962962962963,0.9243027888446215,0.8421052631578948,0.9044585987261147,0.8832116788321168,0.931726907630522
18,5,STFT,alpha,-,SVM,0.490234375,0.0,0.0,0.0,0.490234375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6579292267365662
18,5,STFT,alpha,-,kNN,0.90625,0.8125,0.9342105263157895,0.8503401360544217,0.950207468879668,0.8666666666666667,0.8765432098765432,0.9259259259259259,0.9123505976095617,0.8387096774193549,0.9044585987261147,0.8865248226950354,0.9308943089430894
18,5,STFT,beta,-,Random Forest,0.90625,0.8,0.9342105263157895,0.8705035971223022,0.9392712550607287,0.8888888888888888,0.8765432098765432,0.8962962962962963,0.9243027888446215,0.8421052631578948,0.9044585987261147,0.8832116788321168,0.931726907630522
18,5,STFT,beta,-,SVM,0.89453125,0.8,0.9342105263157895,0.888,0.9042145593869731,0.8888888888888888,0.8765432098765432,0.8222222222222222,0.9402390438247012,0.8421052631578948,0.9044585987261147,0.8538461538461538,0.9218749999999999
