Subject,Experiment ID,Feature extraction,Band selection,Channel selection,Classification algorithm,Accuracy,Happy precision,Sad precision,Happy recall,Sad recall,Happy f1-score,Sad f1-score
1,3,STFT,All bands,-,Random Forest,0.966796875,0.9549180327868853,0.9776119402985075,0.9748953974895398,0.9597069597069597,0.9648033126293997,0.9685767097966728
1,3,STFT,All bands,-,SVM,0.9609375,0.9699570815450643,0.953405017921147,0.9456066945606695,0.9743589743589743,0.9576271186440678,0.963768115942029
1,3,STFT,All bands,-,kNN,0.9609375,0.9506172839506173,0.9702602230483272,0.9665271966527197,0.9560439560439561,0.9585062240663901,0.96309963099631
2,3,STFT,All bands,-,Random Forest,0.76953125,0.75,0.8020833333333334,0.8633093525179856,0.6581196581196581,0.802675585284281,0.7230046948356808
2,3,STFT,All bands,-,SVM,0.94921875,0.9598540145985401,0.9369747899159664,0.9460431654676259,0.9529914529914529,0.9528985507246377,0.9449152542372881
2,3,STFT,All bands,-,kNN,0.958984375,0.9326599326599326,0.9953488372093023,0.9964028776978417,0.9145299145299145,0.9634782608695653,0.953229398663697
3,3,STFT,All bands,-,Random Forest,0.892578125,0.8832116788321168,0.9033613445378151,0.9132075471698113,0.8704453441295547,0.8979591836734694,0.8865979381443299
3,3,STFT,All bands,-,SVM,0.8984375,0.8763250883392226,0.925764192139738,0.9358490566037736,0.8582995951417004,0.9051094890510949,0.8907563025210083
3,3,STFT,All bands,-,kNN,0.939453125,0.9333333333333333,0.9462809917355371,0.9509433962264151,0.9271255060728745,0.9420560747663551,0.9366053169734152
4,3,STFT,All bands,-,Random Forest,0.7734375,0.9285714285714286,0.7367149758454107,0.455,0.9775641025641025,0.610738255033557,0.8402203856749312
4,3,STFT,All bands,-,SVM,0.931640625,0.9508196721311475,0.9209726443768997,0.87,0.9711538461538461,0.9086161879895561,0.9453978159126364
4,3,STFT,All bands,-,kNN,0.939453125,0.9424083769633508,0.9376947040498442,0.9,0.9647435897435898,0.9207161125319693,0.9510268562401263
5,3,STFT,All bands,-,Random Forest,0.845703125,0.847953216374269,0.8411764705882353,0.9148264984227129,0.7333333333333333,0.8801213960546281,0.7835616438356164
5,3,STFT,All bands,-,SVM,0.923828125,0.954248366013072,0.8786407766990292,0.9211356466876972,0.9282051282051282,0.9373996789727127,0.9027431421446385
5,3,STFT,All bands,-,kNN,0.923828125,0.954248366013072,0.8786407766990292,0.9211356466876972,0.9282051282051282,0.9373996789727127,0.9027431421446385
6,3,STFT,All bands,-,Random Forest,0.853515625,0.8374164810690423,0.9682539682539683,0.9947089947089947,0.4552238805970149,0.9093107617896009,0.6192893401015228
6,3,STFT,All bands,-,SVM,0.9375,0.9675675675675676,0.8591549295774648,0.9470899470899471,0.9104477611940298,0.9572192513368984,0.8840579710144928
6,3,STFT,All bands,-,kNN,0.9375,0.9675675675675676,0.8591549295774648,0.9470899470899471,0.9104477611940298,0.9572192513368984,0.8840579710144928
7,3,STFT,All bands,-,Random Forest,0.896484375,0.8730964467005076,0.9745762711864406,0.9913544668587896,0.696969696969697,0.9284750337381915,0.8127208480565371
7,3,STFT,All bands,-,SVM,0.95703125,0.9603399433427762,0.949685534591195,0.9769452449567724,0.9151515151515152,0.9685714285714286,0.9320987654320988
7,3,STFT,All bands,-,kNN,0.966796875,0.9796511627906976,0.9404761904761905,0.9711815561959655,0.9575757575757575,0.9753979739507959,0.9489489489489489
8,3,STFT,All bands,-,Random Forest,0.841796875,0.9083333333333333,0.7830882352941176,0.7870036101083032,0.9063829787234042,0.8433268858800773,0.8402366863905325
8,3,STFT,All bands,-,SVM,0.943359375,0.9920634920634921,0.8961538461538462,0.9025270758122743,0.9914893617021276,0.9451795841209829,0.9414141414141415
8,3,STFT,All bands,-,kNN,0.943359375,0.9492753623188406,0.9364406779661016,0.9458483754512635,0.9404255319148936,0.9475587703435806,0.9384288747346071
9,3,STFT,All bands,-,Random Forest,0.8671875,0.8760330578512396,0.8592592592592593,0.848,0.8854961832061069,0.8617886178861788,0.8721804511278195
9,3,STFT,All bands,-,SVM,0.92578125,0.9690265486725663,0.8916083916083916,0.876,0.9732824427480916,0.9201680672268907,0.9306569343065694
9,3,STFT,All bands,-,kNN,0.921875,0.91015625,0.93359375,0.932,0.9122137404580153,0.9209486166007905,0.9227799227799227
10,3,STFT,All bands,-,Random Forest,0.92578125,0.9198473282442748,0.932,0.9341085271317829,0.9173228346456693,0.9269230769230768,0.9246031746031745
10,3,STFT,All bands,-,SVM,0.943359375,0.935361216730038,0.9518072289156626,0.9534883720930233,0.9330708661417323,0.944337811900192,0.9423459244532804
10,3,STFT,All bands,-,kNN,0.958984375,0.9721115537848606,0.946360153256705,0.9457364341085271,0.9724409448818898,0.9587426326129667,0.9592233009708738
